,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
penaltyl2 C100 solverlbfgs,0.9379 (0.00134),0.9375 (0.00130),0.9307 (0.00061),0.9443 (0.00205),0.8760 (0.00270),0.9374 (0.00257),0.9370 (0.00250),0.9310 (0.00220),0.9430 (0.00425),0.8748 (0.00517),0.9295 (0.00104),0.9286 (0.00105),0.9170 (0.00125),0.9405 (0.00121),0.8593 (0.00207)
penaltyl2 C100 solverliblinear,0.9379 (0.00111),0.9374 (0.00109),0.9306 (0.00081),0.9443 (0.00143),0.8758 (0.00222),0.9372 (0.00292),0.9368 (0.00286),0.9307 (0.00242),0.9429 (0.00434),0.8744 (0.00587),0.9294 (0.00101),0.9285 (0.00105),0.9170 (0.00164),0.9403 (0.00100),0.8591 (0.00200)
penaltyl2 C100 solvernewton- Cg,0.9378 (0.00106),0.9374 (0.00105),0.9306 (0.00074),0.9442 (0.00139),0.8758 (0.00213),0.9372 (0.00293),0.9367 (0.00288),0.9306 (0.00250),0.9430 (0.00429),0.8744 (0.00588),0.9294 (0.00104),0.9285 (0.00108),0.9171 (0.00169),0.9403 (0.00097),0.8591 (0.00205)
penaltyl2 C100 solversaga,0.9338 (0.00031),0.9332 (0.00028),0.9244 (0.00048),0.9422 (0.00086),0.8678 (0.00064),0.9345 (0.00361),0.9338 (0.00364),0.9250 (0.00352),0.9428 (0.00394),0.8691 (0.00724),0.9278 (0.00049),0.9268 (0.00055),0.9148 (0.00144),0.9392 (0.00082),0.8558 (0.00095)
penaltyl2 C10 solverlbfgs,0.9377 (0.00140),0.9372 (0.00142),0.9303 (0.00184),0.9442 (0.00159),0.8755 (0.00280),0.9372 (0.00333),0.9368 (0.00325),0.9310 (0.00225),0.9426 (0.00495),0.8744 (0.00669),0.9293 (0.00092),0.9285 (0.00090),0.9170 (0.00101),0.9402 (0.00164),0.8590 (0.00187)
penaltyl2 C10 solverliblinear,0.9378 (0.00146),0.9373 (0.00147),0.9303 (0.00162),0.9444 (0.00173),0.8757 (0.00293),0.9374 (0.00344),0.9370 (0.00336),0.9310 (0.00225),0.9430 (0.00512),0.8748 (0.00692),0.9293 (0.00067),0.9285 (0.00067),0.9169 (0.00110),0.9403 (0.00128),0.8590 (0.00135)
penaltyl2 C10 solvernewton- Cg,0.9378 (0.00146),0.9373 (0.00147),0.9303 (0.00162),0.9444 (0.00173),0.8757 (0.00293),0.9374 (0.00344),0.9370 (0.00336),0.9310 (0.00225),0.9430 (0.00512),0.8748 (0.00692),0.9293 (0.00067),0.9285 (0.00067),0.9169 (0.00110),0.9403 (0.00128),0.8590 (0.00135)
penaltyl2 C10 solversaga,0.9339 (0.00030),0.9333 (0.00027),0.9245 (0.00045),0.9422 (0.00087),0.8679 (0.00062),0.9344 (0.00360),0.9338 (0.00362),0.9249 (0.00347),0.9428 (0.00393),0.8690 (0.00721),0.9278 (0.00053),0.9268 (0.00059),0.9148 (0.00152),0.9392 (0.00082),0.8558 (0.00102)
penaltyl2 C1 solverlbfgs,0.9365 (0.00147),0.9361 (0.00146),0.9290 (0.00148),0.9432 (0.00207),0.8732 (0.00296),0.9362 (0.00299),0.9358 (0.00303),0.9302 (0.00351),0.9414 (0.00318),0.8724 (0.00599),0.9289 (0.00069),0.9280 (0.00068),0.9163 (0.00098),0.9401 (0.00128),0.8582 (0.00140)
penaltyl2 C1 solverliblinear,0.9366 (0.00154),0.9361 (0.00152),0.9290 (0.00148),0.9433 (0.00220),0.8733 (0.00310),0.9359 (0.00299),0.9355 (0.00303),0.9296 (0.00351),0.9414 (0.00318),0.8718 (0.00599),0.9290 (0.00067),0.9280 (0.00065),0.9161 (0.00080),0.9403 (0.00117),0.8582 (0.00135)
penaltyl2 C1 solvernewton- Cg,0.9365 (0.00147),0.9361 (0.00146),0.9290 (0.00148),0.9432 (0.00207),0.8732 (0.00296),0.9362 (0.00299),0.9358 (0.00303),0.9302 (0.00351),0.9414 (0.00318),0.8724 (0.00599),0.9289 (0.00071),0.9280 (0.00070),0.9162 (0.00088),0.9401 (0.00128),0.8581 (0.00144)
penaltyl2 C1 solversaga,0.9340 (0.00043),0.9334 (0.00039),0.9245 (0.00015),0.9424 (0.00095),0.8682 (0.00087),0.9343 (0.00325),0.9337 (0.00326),0.9248 (0.00296),0.9427 (0.00370),0.8687 (0.00652),0.9277 (0.00053),0.9267 (0.00059),0.9148 (0.00148),0.9389 (0.00081),0.8556 (0.00103)
