,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
numMidLayers0_hiddenDim128,0.9743 (0.00213),0.9743 (0.00213),0.9765 (0.00250),0.9722 (0.00186),0.9486 (0.00426),0.9546 (0.00346),0.9548 (0.00345),0.9579 (0.00353),0.9517 (0.00370),0.9093 (0.00692),0.9516 (0.00094),0.9518 (0.00096),0.9542 (0.00165),0.9493 (0.00091),0.9033 (0.00189)
numMidLayers0_hiddenDim256,0.9774 (0.00258),0.9775 (0.00258),0.9797 (0.00300),0.9752 (0.00228),0.9549 (0.00516),0.9544 (0.00400),0.9546 (0.00401),0.9576 (0.00479),0.9516 (0.00383),0.9089 (0.00801),0.9509 (0.00089),0.9510 (0.00091),0.9535 (0.00154),0.9486 (0.00078),0.9018 (0.00178)
numMidLayers0_hiddenDim64,0.9709 (0.00195),0.9709 (0.00195),0.9730 (0.00242),0.9689 (0.00183),0.9417 (0.00390),0.9546 (0.00253),0.9548 (0.00252),0.9579 (0.00272),0.9517 (0.00289),0.9093 (0.00507),0.9519 (0.00086),0.9520 (0.00089),0.9549 (0.00168),0.9492 (0.00099),0.9038 (0.00173)
numMidLayers1_hiddenDim128,0.9751 (0.00259),0.9752 (0.00259),0.9784 (0.00317),0.9720 (0.00226),0.9503 (0.00518),0.9541 (0.00299),0.9544 (0.00296),0.9590 (0.00316),0.9498 (0.00344),0.9083 (0.00597),0.9508 (0.00086),0.9510 (0.00088),0.9547 (0.00181),0.9473 (0.00115),0.9016 (0.00172)
numMidLayers1_hiddenDim256,0.9782 (0.00384),0.9783 (0.00384),0.9819 (0.00440),0.9748 (0.00339),0.9565 (0.00770),0.9544 (0.00322),0.9546 (0.00321),0.9592 (0.00351),0.9500 (0.00337),0.9088 (0.00644),0.9502 (0.00100),0.9504 (0.00100),0.9543 (0.00164),0.9466 (0.00144),0.9005 (0.00200)
numMidLayers1_hiddenDim64,0.9720 (0.00274),0.9721 (0.00275),0.9756 (0.00356),0.9687 (0.00227),0.9441 (0.00549),0.9543 (0.00281),0.9545 (0.00278),0.9597 (0.00306),0.9494 (0.00355),0.9086 (0.00561),0.9514 (0.00083),0.9516 (0.00086),0.9556 (0.00184),0.9476 (0.00111),0.9028 (0.00168)
numMidLayers2_hiddenDim128,0.9782 (0.00396),0.9783 (0.00396),0.9824 (0.00477),0.9742 (0.00330),0.9564 (0.00793),0.9547 (0.00285),0.9548 (0.00280),0.9587 (0.00225),0.9510 (0.00387),0.9093 (0.00569),0.9510 (0.00107),0.9511 (0.00108),0.9540 (0.00192),0.9483 (0.00174),0.9020 (0.00215)
numMidLayers2_hiddenDim256,0.9805 (0.00386),0.9806 (0.00386),0.9851 (0.00447),0.9761 (0.00334),0.9611 (0.00773),0.9548 (0.00331),0.9550 (0.00326),0.9591 (0.00296),0.9510 (0.00428),0.9097 (0.00661),0.9506 (0.00110),0.9507 (0.00110),0.9533 (0.00225),0.9481 (0.00206),0.9012 (0.00220)
numMidLayers2_hiddenDim64,0.9718 (0.00370),0.9720 (0.00371),0.9757 (0.00470),0.9682 (0.00315),0.9437 (0.00741),0.9543 (0.00264),0.9545 (0.00262),0.9595 (0.00301),0.9495 (0.00335),0.9086 (0.00528),0.9510 (0.00097),0.9512 (0.00100),0.9552 (0.00240),0.9472 (0.00160),0.9020 (0.00196)
numMidLayers3_hiddenDim128,0.9775 (0.00381),0.9776 (0.00381),0.9817 (0.00436),0.9736 (0.00343),0.9551 (0.00763),0.9544 (0.00313),0.9546 (0.00311),0.9578 (0.00358),0.9513 (0.00381),0.9088 (0.00625),0.9503 (0.00091),0.9504 (0.00091),0.9524 (0.00235),0.9485 (0.00223),0.9006 (0.00182)
numMidLayers3_hiddenDim256,0.9791 (0.00390),0.9792 (0.00390),0.9834 (0.00472),0.9750 (0.00318),0.9582 (0.00780),0.9544 (0.00296),0.9545 (0.00289),0.9574 (0.00249),0.9517 (0.00445),0.9088 (0.00590),0.9497 (0.00097),0.9498 (0.00098),0.9514 (0.00247),0.9481 (0.00208),0.8994 (0.00194)
numMidLayers3_hiddenDim64,0.9725 (0.00352),0.9726 (0.00353),0.9768 (0.00451),0.9685 (0.00286),0.9450 (0.00706),0.9538 (0.00217),0.9541 (0.00215),0.9593 (0.00237),0.9489 (0.00278),0.9077 (0.00434),0.9509 (0.00065),0.9511 (0.00067),0.9551 (0.00194),0.9472 (0.00138),0.9019 (0.00130)
