,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
numMidLayers0_hiddenDim128,0.9815 (0.00246),0.9815 (0.00246),0.9822 (0.00278),0.9807 (0.00264),0.9630 (0.00493),0.9580 (0.00428),0.9580 (0.00425),0.9591 (0.00383),0.9570 (0.00497),0.9160 (0.00856),0.9541 (0.00118),0.9540 (0.00119),0.9517 (0.00186),0.9564 (0.00165),0.9083 (0.00236)
numMidLayers0_hiddenDim256,0.9837 (0.00176),0.9838 (0.00177),0.9847 (0.00239),0.9828 (0.00173),0.9675 (0.00352),0.9572 (0.00398),0.9572 (0.00394),0.9582 (0.00354),0.9563 (0.00491),0.9143 (0.00796),0.9535 (0.00115),0.9534 (0.00117),0.9514 (0.00207),0.9555 (0.00157),0.9071 (0.00229)
numMidLayers0_hiddenDim64,0.9783 (0.00251),0.9783 (0.00251),0.9792 (0.00264),0.9774 (0.00295),0.9566 (0.00502),0.9581 (0.00360),0.9581 (0.00359),0.9593 (0.00361),0.9570 (0.00381),0.9162 (0.00719),0.9542 (0.00110),0.9541 (0.00110),0.9517 (0.00163),0.9565 (0.00182),0.9085 (0.00221)
numMidLayers1_hiddenDim128,0.9808 (0.00321),0.9809 (0.00321),0.9832 (0.00391),0.9785 (0.00296),0.9616 (0.00642),0.9571 (0.00396),0.9572 (0.00391),0.9601 (0.00354),0.9545 (0.00499),0.9143 (0.00791),0.9526 (0.00209),0.9526 (0.00211),0.9524 (0.00294),0.9528 (0.00229),0.9053 (0.00418)
numMidLayers1_hiddenDim256,0.9817 (0.00338),0.9817 (0.00338),0.9845 (0.00394),0.9790 (0.00336),0.9634 (0.00676),0.9563 (0.00385),0.9564 (0.00375),0.9596 (0.00276),0.9533 (0.00580),0.9126 (0.00767),0.9516 (0.00182),0.9516 (0.00181),0.9517 (0.00220),0.9516 (0.00231),0.9033 (0.00363)
numMidLayers1_hiddenDim64,0.9791 (0.00304),0.9791 (0.00304),0.9812 (0.00357),0.9771 (0.00313),0.9582 (0.00609),0.9574 (0.00441),0.9576 (0.00437),0.9608 (0.00423),0.9544 (0.00519),0.9149 (0.00882),0.9536 (0.00192),0.9536 (0.00195),0.9530 (0.00308),0.9542 (0.00219),0.9072 (0.00384)
numMidLayers2_hiddenDim128,0.9802 (0.00460),0.9802 (0.00460),0.9833 (0.00538),0.9771 (0.00422),0.9603 (0.00920),0.9577 (0.00405),0.9579 (0.00396),0.9609 (0.00310),0.9548 (0.00589),0.9155 (0.00808),0.9525 (0.00246),0.9525 (0.00244),0.9524 (0.00292),0.9526 (0.00342),0.9051 (0.00492)
numMidLayers2_hiddenDim256,0.9819 (0.00427),0.9820 (0.00427),0.9857 (0.00497),0.9783 (0.00390),0.9639 (0.00854),0.9572 (0.00351),0.9573 (0.00340),0.9602 (0.00271),0.9545 (0.00598),0.9144 (0.00700),0.9517 (0.00246),0.9516 (0.00244),0.9511 (0.00289),0.9522 (0.00368),0.9033 (0.00493)
numMidLayers2_hiddenDim64,0.9769 (0.00380),0.9770 (0.00380),0.9795 (0.00439),0.9745 (0.00349),0.9539 (0.00761),0.9569 (0.00365),0.9571 (0.00361),0.9610 (0.00375),0.9532 (0.00448),0.9138 (0.00728),0.9519 (0.00195),0.9518 (0.00197),0.9513 (0.00297),0.9523 (0.00242),0.9037 (0.00390)
numMidLayers3_hiddenDim128,0.9810 (0.00428),0.9811 (0.00426),0.9847 (0.00454),0.9775 (0.00429),0.9620 (0.00856),0.9580 (0.00394),0.9582 (0.00383),0.9612 (0.00336),0.9552 (0.00646),0.9161 (0.00784),0.9522 (0.00237),0.9522 (0.00234),0.9513 (0.00297),0.9531 (0.00362),0.9045 (0.00474)
numMidLayers3_hiddenDim256,0.9813 (0.00502),0.9814 (0.00500),0.9852 (0.00515),0.9777 (0.00518),0.9627 (0.01004),0.9573 (0.00379),0.9574 (0.00369),0.9603 (0.00381),0.9546 (0.00662),0.9146 (0.00756),0.9507 (0.00257),0.9507 (0.00248),0.9498 (0.00333),0.9516 (0.00515),0.9015 (0.00513)
numMidLayers3_hiddenDim64,0.9784 (0.00313),0.9785 (0.00314),0.9818 (0.00408),0.9752 (0.00289),0.9569 (0.00627),0.9578 (0.00394),0.9580 (0.00390),0.9622 (0.00391),0.9539 (0.00495),0.9157 (0.00788),0.9529 (0.00213),0.9530 (0.00213),0.9532 (0.00294),0.9527 (0.00303),0.9059 (0.00427)
