,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9972 (0.00012),0.9972 (0.00012),0.9955 (0.00024),0.9988 (0.00049),0.9943 (0.00025),0.9704 (0.00173),0.9704 (0.00169),0.9710 (0.00074),0.9698 (0.00304),0.9407 (0.00345),0.9691 (0.00028),0.9690 (0.00026),0.9672 (0.00084),0.9709 (0.00117),0.9382 (0.00057)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9954 (0.00039),0.9954 (0.00040),0.9929 (0.00044),0.9979 (0.00049),0.9908 (0.00079),0.9704 (0.00140),0.9704 (0.00136),0.9709 (0.00086),0.9699 (0.00288),0.9409 (0.00280),0.9691 (0.00044),0.9690 (0.00044),0.9674 (0.00120),0.9707 (0.00130),0.9382 (0.00088)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9972 (0.00012),0.9972 (0.00012),0.9956 (0.00061),0.9987 (0.00037),0.9943 (0.00024),0.9705 (0.00171),0.9705 (0.00166),0.9710 (0.00028),0.9700 (0.00314),0.9409 (0.00340),0.9697 (0.00056),0.9697 (0.00056),0.9682 (0.00101),0.9712 (0.00111),0.9394 (0.00112)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9950 (0.00065),0.9950 (0.00065),0.9925 (0.00066),0.9976 (0.00075),0.9901 (0.00129),0.9704 (0.00141),0.9704 (0.00137),0.9711 (0.00076),0.9698 (0.00275),0.9408 (0.00281),0.9690 (0.00042),0.9690 (0.00041),0.9674 (0.00110),0.9705 (0.00138),0.9381 (0.00084)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9965 (0.00025),0.9965 (0.00025),0.9949 (0.00024),0.9981 (0.00051),0.9930 (0.00051),0.9711 (0.00042),0.9711 (0.00040),0.9718 (0.00149),0.9704 (0.00174),0.9421 (0.00084),0.9695 (0.00014),0.9695 (0.00012),0.9678 (0.00064),0.9712 (0.00082),0.9390 (0.00029)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9940 (0.00072),0.9939 (0.00072),0.9913 (0.00081),0.9966 (0.00069),0.9879 (0.00143),0.9703 (0.00138),0.9703 (0.00135),0.9712 (0.00071),0.9695 (0.00254),0.9406 (0.00276),0.9690 (0.00042),0.9689 (0.00041),0.9675 (0.00122),0.9704 (0.00134),0.9380 (0.00084)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9964 (0.00025),0.9964 (0.00025),0.9946 (0.00049),0.9981 (0.00061),0.9928 (0.00051),0.9702 (0.00112),0.9702 (0.00108),0.9710 (0.00056),0.9694 (0.00231),0.9403 (0.00223),0.9695 (0.00043),0.9694 (0.00041),0.9682 (0.00061),0.9707 (0.00124),0.9389 (0.00086)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9930 (0.00069),0.9930 (0.00070),0.9906 (0.00094),0.9953 (0.00057),0.9860 (0.00138),0.9700 (0.00126),0.9700 (0.00123),0.9711 (0.00099),0.9690 (0.00231),0.9400 (0.00251),0.9689 (0.00042),0.9689 (0.00042),0.9675 (0.00124),0.9702 (0.00132),0.9378 (0.00084)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9964 (0.00025),0.9964 (0.00025),0.9946 (0.00049),0.9981 (0.00061),0.9928 (0.00051),0.9702 (0.00112),0.9702 (0.00108),0.9710 (0.00056),0.9694 (0.00231),0.9403 (0.00223),0.9695 (0.00043),0.9694 (0.00041),0.9682 (0.00061),0.9707 (0.00124),0.9389 (0.00086)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9929 (0.00066),0.9929 (0.00066),0.9906 (0.00086),0.9953 (0.00053),0.9858 (0.00132),0.9700 (0.00127),0.9700 (0.00125),0.9711 (0.00098),0.9689 (0.00217),0.9400 (0.00254),0.9690 (0.00047),0.9689 (0.00047),0.9676 (0.00141),0.9703 (0.00139),0.9380 (0.00094)
