,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9817 (0.00027),0.9816 (0.00027),0.9793 (0.00007),0.9839 (0.00052),0.9633 (0.00055),0.9604 (0.00203),0.9606 (0.00194),0.9654 (0.00038),0.9559 (0.00365),0.9209 (0.00402),0.9596 (0.00019),0.9597 (0.00018),0.9622 (0.00052),0.9573 (0.00066),0.9193 (0.00037)
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9756 (0.00114),0.9757 (0.00114),0.9763 (0.00166),0.9750 (0.00172),0.9513 (0.00229),0.9591 (0.00128),0.9593 (0.00127),0.9643 (0.00289),0.9544 (0.00287),0.9183 (0.00256),0.9584 (0.00091),0.9585 (0.00092),0.9623 (0.00234),0.9548 (0.00186),0.9168 (0.00183)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9546 (0.00104),0.9545 (0.00103),0.9537 (0.00076),0.9554 (0.00133),0.9091 (0.00209),0.9514 (0.00114),0.9514 (0.00102),0.9513 (0.00209),0.9516 (0.00367),0.9029 (0.00228),0.9496 (0.00193),0.9495 (0.00187),0.9486 (0.00078),0.9505 (0.00308),0.8991 (0.00387)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9538 (0.00160),0.9536 (0.00174),0.9494 (0.00542),0.9579 (0.00343),0.9077 (0.00314),0.9510 (0.00204),0.9509 (0.00213),0.9487 (0.00588),0.9532 (0.00451),0.9021 (0.00403),0.9491 (0.00175),0.9488 (0.00191),0.9442 (0.00571),0.9535 (0.00332),0.8982 (0.00341)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9546 (0.00104),0.9545 (0.00099),0.9530 (0.00019),0.9560 (0.00218),0.9092 (0.00209),0.9516 (0.00132),0.9516 (0.00120),0.9515 (0.00181),0.9517 (0.00382),0.9032 (0.00264),0.9494 (0.00165),0.9493 (0.00158),0.9481 (0.00057),0.9505 (0.00312),0.8987 (0.00332)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9533 (0.00153),0.9531 (0.00168),0.9499 (0.00564),0.9564 (0.00353),0.9067 (0.00301),0.9506 (0.00145),0.9505 (0.00153),0.9495 (0.00569),0.9516 (0.00461),0.9012 (0.00288),0.9485 (0.00149),0.9483 (0.00166),0.9451 (0.00582),0.9517 (0.00379),0.8971 (0.00292)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9550 (0.00162),0.9549 (0.00159),0.9538 (0.00098),0.9561 (0.00222),0.9100 (0.00324),0.9513 (0.00103),0.9513 (0.00093),0.9514 (0.00195),0.9513 (0.00327),0.9027 (0.00206),0.9493 (0.00152),0.9492 (0.00145),0.9482 (0.00057),0.9503 (0.00278),0.8985 (0.00305)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9534 (0.00162),0.9533 (0.00173),0.9496 (0.00560),0.9570 (0.00392),0.9069 (0.00320),0.9507 (0.00161),0.9507 (0.00158),0.9493 (0.00534),0.9521 (0.00556),0.9015 (0.00322),0.9493 (0.00125),0.9491 (0.00137),0.9455 (0.00578),0.9527 (0.00449),0.8987 (0.00245)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9544 (0.00097),0.9544 (0.00093),0.9531 (0.00007),0.9557 (0.00191),0.9089 (0.00195),0.9512 (0.00080),0.9513 (0.00074),0.9517 (0.00195),0.9508 (0.00260),0.9025 (0.00159),0.9494 (0.00154),0.9494 (0.00151),0.9490 (0.00088),0.9498 (0.00214),0.8988 (0.00308)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9534 (0.00155),0.9533 (0.00160),0.9496 (0.00459),0.9570 (0.00381),0.9069 (0.00307),0.9511 (0.00162),0.9510 (0.00155),0.9498 (0.00400),0.9523 (0.00491),0.9022 (0.00325),0.9491 (0.00122),0.9489 (0.00128),0.9456 (0.00476),0.9524 (0.00407),0.8983 (0.00241)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9544 (0.00097),0.9544 (0.00093),0.9531 (0.00007),0.9557 (0.00191),0.9089 (0.00195),0.9512 (0.00080),0.9513 (0.00074),0.9517 (0.00195),0.9508 (0.00260),0.9025 (0.00159),0.9494 (0.00154),0.9494 (0.00151),0.9490 (0.00088),0.9498 (0.00214),0.8988 (0.00308)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9534 (0.00120),0.9532 (0.00128),0.9499 (0.00522),0.9566 (0.00422),0.9068 (0.00236),0.9513 (0.00169),0.9512 (0.00161),0.9501 (0.00496),0.9524 (0.00569),0.9026 (0.00336),0.9489 (0.00153),0.9487 (0.00162),0.9453 (0.00590),0.9522 (0.00481),0.8979 (0.00301)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9542 (0.00065),0.9542 (0.00061),0.9529 (0.00026),0.9554 (0.00149),0.9084 (0.00131),0.9515 (0.00108),0.9516 (0.00098),0.9518 (0.00181),0.9513 (0.00327),0.9031 (0.00217),0.9494 (0.00147),0.9493 (0.00143),0.9488 (0.00063),0.9499 (0.00226),0.8987 (0.00294)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9533 (0.00177),0.9531 (0.00181),0.9491 (0.00470),0.9572 (0.00406),0.9066 (0.00351),0.9507 (0.00181),0.9506 (0.00174),0.9487 (0.00491),0.9525 (0.00559),0.9014 (0.00360),0.9485 (0.00163),0.9483 (0.00174),0.9444 (0.00548),0.9523 (0.00391),0.8971 (0.00319)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9544 (0.00120),0.9543 (0.00123),0.9512 (0.00308),0.9573 (0.00236),0.9089 (0.00238),0.9516 (0.00045),0.9516 (0.00039),0.9501 (0.00195),0.9531 (0.00231),0.9033 (0.00092),0.9498 (0.00110),0.9496 (0.00109),0.9464 (0.00323),0.9529 (0.00323),0.8996 (0.00220)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9535 (0.00117),0.9534 (0.00125),0.9503 (0.00458),0.9565 (0.00353),0.9071 (0.00231),0.9509 (0.00160),0.9509 (0.00149),0.9503 (0.00458),0.9515 (0.00559),0.9018 (0.00318),0.9489 (0.00121),0.9487 (0.00134),0.9455 (0.00539),0.9520 (0.00397),0.8978 (0.00238)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9544 (0.00120),0.9543 (0.00123),0.9512 (0.00308),0.9573 (0.00236),0.9089 (0.00238),0.9516 (0.00045),0.9516 (0.00039),0.9501 (0.00195),0.9531 (0.00231),0.9033 (0.00092),0.9498 (0.00110),0.9496 (0.00109),0.9464 (0.00323),0.9529 (0.00323),0.8996 (0.00220)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9537 (0.00163),0.9536 (0.00163),0.9511 (0.00376),0.9560 (0.00378),0.9074 (0.00326),0.9510 (0.00177),0.9509 (0.00171),0.9507 (0.00377),0.9513 (0.00441),0.9019 (0.00353),0.9491 (0.00173),0.9490 (0.00177),0.9465 (0.00481),0.9516 (0.00413),0.8983 (0.00345)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9544 (0.00120),0.9543 (0.00123),0.9512 (0.00308),0.9573 (0.00236),0.9089 (0.00238),0.9516 (0.00045),0.9516 (0.00039),0.9501 (0.00195),0.9531 (0.00231),0.9033 (0.00092),0.9498 (0.00110),0.9496 (0.00109),0.9464 (0.00323),0.9529 (0.00323),0.8996 (0.00220)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9533 (0.00147),0.9532 (0.00156),0.9507 (0.00525),0.9557 (0.00395),0.9066 (0.00292),0.9505 (0.00168),0.9505 (0.00163),0.9503 (0.00426),0.9507 (0.00476),0.9010 (0.00335),0.9489 (0.00140),0.9488 (0.00153),0.9463 (0.00551),0.9514 (0.00381),0.8979 (0.00275)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9743 (0.00028),0.9743 (0.00028),0.9713 (0.00026),0.9773 (0.00033),0.9487 (0.00057),0.9579 (0.00134),0.9580 (0.00135),0.9616 (0.00289),0.9545 (0.00232),0.9158 (0.00269),0.9570 (0.00013),0.9570 (0.00013),0.9589 (0.00103),0.9552 (0.00096),0.9139 (0.00026)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9710 (0.00144),0.9710 (0.00142),0.9699 (0.00211),0.9722 (0.00285),0.9421 (0.00288),0.9572 (0.00162),0.9574 (0.00155),0.9606 (0.00273),0.9542 (0.00382),0.9145 (0.00323),0.9563 (0.00129),0.9564 (0.00130),0.9585 (0.00311),0.9543 (0.00275),0.9126 (0.00257)
