,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9831 (0.00039),0.9830 (0.00039),0.9819 (0.00045),0.9842 (0.00049),0.9661 (0.00078),0.9626 (0.00052),0.9628 (0.00051),0.9683 (0.00206),0.9574 (0.00198),0.9253 (0.00103),0.9616 (0.00051),0.9618 (0.00051),0.9662 (0.00066),0.9573 (0.00074),0.9232 (0.00103)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9875 (0.00029),0.9875 (0.00029),0.9849 (0.00051),0.9901 (0.00019),0.9750 (0.00057),0.9640 (0.00026),0.9642 (0.00031),0.9697 (0.00191),0.9587 (0.00135),0.9280 (0.00055),0.9626 (0.00073),0.9628 (0.00074),0.9673 (0.00095),0.9584 (0.00063),0.9253 (0.00147)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9826 (0.00038),0.9826 (0.00038),0.9817 (0.00052),0.9835 (0.00056),0.9652 (0.00076),0.9626 (0.00059),0.9628 (0.00059),0.9685 (0.00216),0.9573 (0.00203),0.9253 (0.00118),0.9617 (0.00051),0.9618 (0.00050),0.9664 (0.00062),0.9573 (0.00087),0.9234 (0.00102)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9831 (0.00035),0.9831 (0.00034),0.9818 (0.00019),0.9843 (0.00057),0.9662 (0.00069),0.9633 (0.00057),0.9635 (0.00053),0.9692 (0.00213),0.9579 (0.00253),0.9267 (0.00112),0.9617 (0.00073),0.9619 (0.00074),0.9661 (0.00108),0.9577 (0.00074),0.9235 (0.00147)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9781 (0.00054),0.9781 (0.00053),0.9792 (0.00051),0.9769 (0.00116),0.9561 (0.00108),0.9619 (0.00060),0.9621 (0.00056),0.9683 (0.00200),0.9561 (0.00237),0.9239 (0.00119),0.9610 (0.00046),0.9612 (0.00046),0.9660 (0.00080),0.9563 (0.00062),0.9220 (0.00092)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9831 (0.00035),0.9831 (0.00034),0.9818 (0.00019),0.9843 (0.00057),0.9662 (0.00069),0.9633 (0.00057),0.9635 (0.00053),0.9692 (0.00213),0.9579 (0.00253),0.9267 (0.00112),0.9617 (0.00073),0.9619 (0.00074),0.9661 (0.00108),0.9577 (0.00074),0.9235 (0.00147)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9781 (0.00063),0.9781 (0.00062),0.9793 (0.00049),0.9770 (0.00110),0.9562 (0.00127),0.9618 (0.00062),0.9620 (0.00060),0.9681 (0.00227),0.9561 (0.00235),0.9237 (0.00123),0.9610 (0.00040),0.9612 (0.00039),0.9661 (0.00066),0.9563 (0.00062),0.9220 (0.00079)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9831 (0.00035),0.9831 (0.00034),0.9818 (0.00019),0.9843 (0.00057),0.9662 (0.00069),0.9633 (0.00057),0.9635 (0.00053),0.9692 (0.00213),0.9579 (0.00253),0.9267 (0.00112),0.9617 (0.00073),0.9619 (0.00074),0.9661 (0.00108),0.9577 (0.00074),0.9235 (0.00147)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9782 (0.00059),0.9782 (0.00058),0.9793 (0.00051),0.9771 (0.00114),0.9563 (0.00119),0.9620 (0.00044),0.9622 (0.00042),0.9683 (0.00219),0.9563 (0.00222),0.9241 (0.00087),0.9610 (0.00040),0.9612 (0.00040),0.9661 (0.00075),0.9564 (0.00067),0.9221 (0.00080)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9568 (0.00082),0.9568 (0.00084),0.9560 (0.00168),0.9576 (0.00115),0.9137 (0.00163),0.9530 (0.00152),0.9531 (0.00152),0.9550 (0.00227),0.9513 (0.00202),0.9061 (0.00304),0.9517 (0.00076),0.9517 (0.00075),0.9511 (0.00119),0.9523 (0.00142),0.9034 (0.00152)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9573 (0.00093),0.9573 (0.00095),0.9563 (0.00231),0.9582 (0.00190),0.9146 (0.00186),0.9533 (0.00121),0.9534 (0.00119),0.9547 (0.00241),0.9521 (0.00273),0.9066 (0.00243),0.9523 (0.00052),0.9522 (0.00051),0.9515 (0.00132),0.9529 (0.00136),0.9045 (0.00103)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9569 (0.00069),0.9569 (0.00070),0.9563 (0.00123),0.9575 (0.00089),0.9138 (0.00138),0.9529 (0.00125),0.9530 (0.00126),0.9551 (0.00216),0.9509 (0.00188),0.9058 (0.00251),0.9516 (0.00062),0.9516 (0.00061),0.9513 (0.00088),0.9518 (0.00095),0.9031 (0.00123)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9573 (0.00092),0.9572 (0.00095),0.9561 (0.00234),0.9584 (0.00167),0.9146 (0.00183),0.9535 (0.00094),0.9536 (0.00091),0.9547 (0.00240),0.9525 (0.00272),0.9071 (0.00188),0.9522 (0.00056),0.9521 (0.00055),0.9514 (0.00131),0.9529 (0.00147),0.9044 (0.00112)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9568 (0.00067),0.9568 (0.00067),0.9563 (0.00102),0.9573 (0.00096),0.9136 (0.00134),0.9527 (0.00151),0.9528 (0.00151),0.9548 (0.00233),0.9508 (0.00194),0.9053 (0.00301),0.9517 (0.00056),0.9517 (0.00056),0.9514 (0.00069),0.9520 (0.00084),0.9035 (0.00112)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9572 (0.00096),0.9571 (0.00098),0.9562 (0.00216),0.9581 (0.00167),0.9143 (0.00192),0.9535 (0.00105),0.9536 (0.00103),0.9549 (0.00229),0.9523 (0.00250),0.9070 (0.00210),0.9522 (0.00063),0.9522 (0.00063),0.9515 (0.00127),0.9529 (0.00115),0.9045 (0.00125)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9567 (0.00091),0.9567 (0.00095),0.9562 (0.00189),0.9572 (0.00075),0.9134 (0.00181),0.9528 (0.00132),0.9529 (0.00131),0.9550 (0.00203),0.9508 (0.00193),0.9055 (0.00263),0.9518 (0.00042),0.9518 (0.00042),0.9514 (0.00116),0.9522 (0.00110),0.9037 (0.00084)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9572 (0.00092),0.9572 (0.00094),0.9559 (0.00215),0.9584 (0.00171),0.9144 (0.00184),0.9535 (0.00105),0.9536 (0.00100),0.9546 (0.00218),0.9525 (0.00279),0.9070 (0.00210),0.9522 (0.00050),0.9522 (0.00051),0.9512 (0.00147),0.9532 (0.00128),0.9044 (0.00100)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9567 (0.00091),0.9567 (0.00095),0.9562 (0.00189),0.9572 (0.00075),0.9134 (0.00181),0.9528 (0.00132),0.9529 (0.00131),0.9550 (0.00203),0.9508 (0.00193),0.9055 (0.00263),0.9518 (0.00042),0.9518 (0.00042),0.9514 (0.00116),0.9522 (0.00110),0.9037 (0.00084)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9572 (0.00099),0.9571 (0.00101),0.9559 (0.00256),0.9584 (0.00225),0.9144 (0.00198),0.9537 (0.00115),0.9538 (0.00110),0.9547 (0.00269),0.9529 (0.00327),0.9075 (0.00230),0.9523 (0.00050),0.9522 (0.00049),0.9513 (0.00161),0.9532 (0.00162),0.9046 (0.00100)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9567 (0.00082),0.9567 (0.00083),0.9562 (0.00138),0.9572 (0.00101),0.9135 (0.00163),0.9526 (0.00132),0.9527 (0.00131),0.9546 (0.00214),0.9509 (0.00202),0.9052 (0.00263),0.9520 (0.00061),0.9520 (0.00061),0.9515 (0.00094),0.9524 (0.00078),0.9040 (0.00122)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9572 (0.00090),0.9571 (0.00092),0.9558 (0.00195),0.9584 (0.00155),0.9144 (0.00180),0.9536 (0.00116),0.9536 (0.00112),0.9546 (0.00241),0.9527 (0.00289),0.9072 (0.00231),0.9521 (0.00057),0.9521 (0.00057),0.9511 (0.00132),0.9530 (0.00134),0.9043 (0.00115)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9567 (0.00081),0.9567 (0.00083),0.9563 (0.00185),0.9571 (0.00137),0.9134 (0.00163),0.9528 (0.00157),0.9528 (0.00156),0.9544 (0.00252),0.9513 (0.00239),0.9055 (0.00313),0.9516 (0.00083),0.9515 (0.00081),0.9509 (0.00085),0.9521 (0.00139),0.9031 (0.00166)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9571 (0.00103),0.9571 (0.00104),0.9560 (0.00244),0.9582 (0.00231),0.9143 (0.00207),0.9535 (0.00117),0.9536 (0.00110),0.9547 (0.00256),0.9525 (0.00338),0.9071 (0.00233),0.9521 (0.00053),0.9521 (0.00052),0.9515 (0.00158),0.9526 (0.00159),0.9042 (0.00105)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9567 (0.00081),0.9567 (0.00083),0.9563 (0.00185),0.9571 (0.00137),0.9134 (0.00163),0.9528 (0.00157),0.9528 (0.00156),0.9544 (0.00252),0.9513 (0.00239),0.9055 (0.00313),0.9516 (0.00083),0.9515 (0.00081),0.9509 (0.00085),0.9521 (0.00139),0.9031 (0.00166)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9571 (0.00093),0.9571 (0.00094),0.9560 (0.00224),0.9582 (0.00205),0.9142 (0.00187),0.9535 (0.00113),0.9536 (0.00109),0.9547 (0.00250),0.9525 (0.00302),0.9071 (0.00226),0.9521 (0.00056),0.9520 (0.00054),0.9513 (0.00120),0.9527 (0.00148),0.9041 (0.00112)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9567 (0.00081),0.9567 (0.00083),0.9563 (0.00185),0.9571 (0.00137),0.9134 (0.00163),0.9528 (0.00157),0.9528 (0.00156),0.9544 (0.00252),0.9513 (0.00239),0.9055 (0.00313),0.9516 (0.00083),0.9515 (0.00081),0.9509 (0.00085),0.9521 (0.00139),0.9031 (0.00166)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9571 (0.00094),0.9570 (0.00099),0.9562 (0.00269),0.9579 (0.00182),0.9142 (0.00188),0.9533 (0.00099),0.9534 (0.00097),0.9547 (0.00240),0.9522 (0.00259),0.9067 (0.00199),0.9521 (0.00042),0.9520 (0.00043),0.9514 (0.00158),0.9527 (0.00141),0.9042 (0.00083)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9760 (0.00068),0.9759 (0.00067),0.9743 (0.00057),0.9776 (0.00132),0.9520 (0.00136),0.9604 (0.00078),0.9606 (0.00072),0.9647 (0.00239),0.9565 (0.00300),0.9208 (0.00154),0.9595 (0.00038),0.9596 (0.00037),0.9625 (0.00069),0.9567 (0.00097),0.9190 (0.00076)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9739 (0.00083),0.9739 (0.00081),0.9736 (0.00075),0.9741 (0.00175),0.9478 (0.00165),0.9602 (0.00078),0.9603 (0.00078),0.9644 (0.00268),0.9563 (0.00249),0.9204 (0.00156),0.9594 (0.00040),0.9595 (0.00039),0.9626 (0.00082),0.9564 (0.00095),0.9187 (0.00080)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9763 (0.00081),0.9763 (0.00082),0.9749 (0.00114),0.9776 (0.00103),0.9526 (0.00163),0.9604 (0.00065),0.9606 (0.00059),0.9648 (0.00118),0.9564 (0.00211),0.9208 (0.00128),0.9598 (0.00006),0.9599 (0.00005),0.9627 (0.00047),0.9571 (0.00053),0.9196 (0.00012)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9736 (0.00073),0.9736 (0.00071),0.9734 (0.00078),0.9738 (0.00158),0.9473 (0.00146),0.9601 (0.00058),0.9602 (0.00058),0.9643 (0.00267),0.9562 (0.00252),0.9202 (0.00116),0.9593 (0.00039),0.9595 (0.00039),0.9625 (0.00083),0.9564 (0.00093),0.9187 (0.00078)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9757 (0.00051),0.9757 (0.00050),0.9748 (0.00100),0.9766 (0.00109),0.9515 (0.00101),0.9605 (0.00043),0.9607 (0.00051),0.9653 (0.00242),0.9562 (0.00138),0.9211 (0.00090),0.9590 (0.00006),0.9591 (0.00004),0.9623 (0.00080),0.9560 (0.00083),0.9180 (0.00012)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9734 (0.00088),0.9734 (0.00086),0.9735 (0.00082),0.9733 (0.00162),0.9468 (0.00176),0.9600 (0.00054),0.9601 (0.00052),0.9646 (0.00261),0.9557 (0.00267),0.9200 (0.00107),0.9594 (0.00047),0.9595 (0.00046),0.9628 (0.00074),0.9562 (0.00096),0.9188 (0.00094)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9756 (0.00081),0.9756 (0.00080),0.9747 (0.00043),0.9765 (0.00145),0.9512 (0.00163),0.9604 (0.00033),0.9605 (0.00039),0.9639 (0.00216),0.9572 (0.00146),0.9208 (0.00068),0.9598 (0.00056),0.9599 (0.00053),0.9624 (0.00055),0.9575 (0.00133),0.9197 (0.00112)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9730 (0.00073),0.9730 (0.00072),0.9732 (0.00085),0.9728 (0.00139),0.9460 (0.00146),0.9601 (0.00062),0.9603 (0.00062),0.9645 (0.00256),0.9561 (0.00231),0.9202 (0.00123),0.9593 (0.00040),0.9595 (0.00039),0.9626 (0.00067),0.9564 (0.00081),0.9187 (0.00080)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9756 (0.00081),0.9756 (0.00080),0.9747 (0.00043),0.9765 (0.00145),0.9512 (0.00163),0.9604 (0.00033),0.9605 (0.00039),0.9639 (0.00216),0.9572 (0.00146),0.9208 (0.00068),0.9598 (0.00056),0.9599 (0.00053),0.9624 (0.00055),0.9575 (0.00133),0.9197 (0.00112)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9728 (0.00079),0.9728 (0.00077),0.9731 (0.00077),0.9725 (0.00146),0.9456 (0.00158),0.9598 (0.00071),0.9600 (0.00068),0.9645 (0.00227),0.9556 (0.00247),0.9197 (0.00141),0.9593 (0.00040),0.9594 (0.00039),0.9626 (0.00071),0.9562 (0.00085),0.9185 (0.00079)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9754 (0.00053),0.9754 (0.00050),0.9748 (0.00052),0.9760 (0.00143),0.9508 (0.00105),0.9606 (0.00077),0.9608 (0.00084),0.9655 (0.00340),0.9561 (0.00215),0.9213 (0.00156),0.9594 (0.00025),0.9596 (0.00025),0.9624 (0.00077),0.9567 (0.00077),0.9189 (0.00051)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9727 (0.00084),0.9727 (0.00082),0.9731 (0.00079),0.9723 (0.00144),0.9454 (0.00167),0.9599 (0.00064),0.9601 (0.00065),0.9642 (0.00273),0.9559 (0.00245),0.9198 (0.00127),0.9593 (0.00031),0.9595 (0.00031),0.9626 (0.00079),0.9563 (0.00073),0.9187 (0.00062)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9736 (0.00058),0.9735 (0.00058),0.9734 (0.00090),0.9736 (0.00078),0.9471 (0.00116),0.9604 (0.00069),0.9606 (0.00077),0.9653 (0.00289),0.9560 (0.00146),0.9209 (0.00141),0.9595 (0.00033),0.9596 (0.00030),0.9630 (0.00025),0.9563 (0.00082),0.9190 (0.00064)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9707 (0.00079),0.9708 (0.00078),0.9722 (0.00098),0.9693 (0.00131),0.9415 (0.00157),0.9597 (0.00073),0.9599 (0.00074),0.9646 (0.00269),0.9552 (0.00240),0.9194 (0.00147),0.9591 (0.00049),0.9593 (0.00049),0.9628 (0.00092),0.9558 (0.00086),0.9183 (0.00098)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9736 (0.00058),0.9735 (0.00058),0.9734 (0.00090),0.9736 (0.00078),0.9471 (0.00116),0.9604 (0.00069),0.9606 (0.00077),0.9653 (0.00289),0.9560 (0.00146),0.9209 (0.00141),0.9595 (0.00033),0.9596 (0.00030),0.9630 (0.00025),0.9563 (0.00082),0.9190 (0.00064)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9708 (0.00091),0.9708 (0.00090),0.9721 (0.00104),0.9695 (0.00145),0.9415 (0.00181),0.9598 (0.00060),0.9600 (0.00059),0.9646 (0.00256),0.9554 (0.00250),0.9196 (0.00120),0.9591 (0.00047),0.9593 (0.00047),0.9627 (0.00073),0.9559 (0.00083),0.9183 (0.00095)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9736 (0.00058),0.9735 (0.00058),0.9734 (0.00090),0.9736 (0.00078),0.9471 (0.00116),0.9604 (0.00069),0.9606 (0.00077),0.9653 (0.00289),0.9560 (0.00146),0.9209 (0.00141),0.9595 (0.00033),0.9596 (0.00030),0.9630 (0.00025),0.9563 (0.00082),0.9190 (0.00064)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9707 (0.00082),0.9708 (0.00082),0.9719 (0.00115),0.9696 (0.00130),0.9415 (0.00164),0.9599 (0.00068),0.9601 (0.00066),0.9646 (0.00253),0.9556 (0.00264),0.9198 (0.00135),0.9592 (0.00038),0.9593 (0.00038),0.9626 (0.00074),0.9560 (0.00077),0.9183 (0.00076)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9895 (0.00075),0.9895 (0.00075),0.9855 (0.00072),0.9936 (0.00093),0.9791 (0.00151),0.9627 (0.00038),0.9630 (0.00033),0.9684 (0.00175),0.9576 (0.00214),0.9256 (0.00074),0.9610 (0.00013),0.9612 (0.00015),0.9654 (0.00094),0.9569 (0.00070),0.9220 (0.00027)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9850 (0.00055),0.9849 (0.00055),0.9819 (0.00082),0.9880 (0.00114),0.9699 (0.00110),0.9618 (0.00108),0.9620 (0.00104),0.9668 (0.00259),0.9573 (0.00298),0.9237 (0.00214),0.9608 (0.00068),0.9610 (0.00068),0.9651 (0.00145),0.9570 (0.00133),0.9217 (0.00136)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9891 (0.00063),0.9891 (0.00064),0.9849 (0.00095),0.9933 (0.00038),0.9783 (0.00126),0.9633 (0.00025),0.9635 (0.00019),0.9680 (0.00151),0.9590 (0.00185),0.9267 (0.00047),0.9615 (0.00035),0.9617 (0.00033),0.9657 (0.00007),0.9577 (0.00071),0.9231 (0.00068)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9843 (0.00075),0.9843 (0.00075),0.9817 (0.00091),0.9868 (0.00125),0.9686 (0.00151),0.9613 (0.00098),0.9615 (0.00096),0.9666 (0.00234),0.9565 (0.00247),0.9227 (0.00194),0.9608 (0.00085),0.9610 (0.00084),0.9651 (0.00142),0.9569 (0.00149),0.9217 (0.00169)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9885 (0.00101),0.9884 (0.00102),0.9850 (0.00121),0.9919 (0.00086),0.9770 (0.00202),0.9631 (0.00132),0.9633 (0.00129),0.9682 (0.00299),0.9585 (0.00325),0.9263 (0.00262),0.9624 (0.00119),0.9626 (0.00117),0.9668 (0.00085),0.9584 (0.00157),0.9249 (0.00238)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9831 (0.00065),0.9831 (0.00065),0.9810 (0.00096),0.9852 (0.00100),0.9663 (0.00131),0.9616 (0.00108),0.9618 (0.00105),0.9666 (0.00207),0.9570 (0.00257),0.9232 (0.00214),0.9609 (0.00086),0.9611 (0.00084),0.9653 (0.00130),0.9569 (0.00175),0.9218 (0.00171)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9877 (0.00010),0.9877 (0.00010),0.9842 (0.00063),0.9912 (0.00054),0.9755 (0.00019),0.9624 (0.00095),0.9626 (0.00095),0.9679 (0.00380),0.9575 (0.00344),0.9250 (0.00188),0.9613 (0.00094),0.9615 (0.00093),0.9655 (0.00207),0.9576 (0.00214),0.9227 (0.00187)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9822 (0.00068),0.9822 (0.00068),0.9808 (0.00097),0.9836 (0.00103),0.9644 (0.00135),0.9614 (0.00092),0.9616 (0.00088),0.9667 (0.00256),0.9565 (0.00306),0.9228 (0.00182),0.9608 (0.00087),0.9610 (0.00086),0.9653 (0.00151),0.9566 (0.00155),0.9216 (0.00173)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9877 (0.00010),0.9877 (0.00010),0.9842 (0.00063),0.9912 (0.00054),0.9755 (0.00019),0.9624 (0.00095),0.9626 (0.00095),0.9679 (0.00380),0.9575 (0.00344),0.9250 (0.00188),0.9613 (0.00094),0.9615 (0.00093),0.9655 (0.00207),0.9576 (0.00214),0.9227 (0.00187)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9823 (0.00066),0.9823 (0.00066),0.9809 (0.00091),0.9837 (0.00106),0.9647 (0.00132),0.9617 (0.00117),0.9619 (0.00114),0.9670 (0.00240),0.9569 (0.00280),0.9235 (0.00231),0.9610 (0.00089),0.9611 (0.00089),0.9652 (0.00136),0.9571 (0.00117),0.9220 (0.00178)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9873 (0.00025),0.9873 (0.00025),0.9841 (0.00057),0.9905 (0.00050),0.9747 (0.00050),0.9627 (0.00176),0.9629 (0.00176),0.9674 (0.00256),0.9585 (0.00204),0.9255 (0.00351),0.9617 (0.00114),0.9618 (0.00116),0.9659 (0.00167),0.9578 (0.00066),0.9234 (0.00229)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9818 (0.00074),0.9818 (0.00073),0.9806 (0.00087),0.9830 (0.00110),0.9637 (0.00147),0.9616 (0.00102),0.9618 (0.00100),0.9668 (0.00250),0.9569 (0.00271),0.9233 (0.00204),0.9608 (0.00066),0.9609 (0.00064),0.9652 (0.00117),0.9568 (0.00141),0.9216 (0.00131)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9825 (0.00031),0.9824 (0.00032),0.9812 (0.00105),0.9837 (0.00041),0.9649 (0.00062),0.9613 (0.00087),0.9616 (0.00083),0.9675 (0.00100),0.9557 (0.00187),0.9227 (0.00172),0.9612 (0.00006),0.9613 (0.00006),0.9655 (0.00013),0.9572 (0.00001),0.9224 (0.00013)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9771 (0.00082),0.9771 (0.00081),0.9777 (0.00109),0.9765 (0.00123),0.9541 (0.00164),0.9609 (0.00103),0.9611 (0.00101),0.9666 (0.00266),0.9557 (0.00282),0.9218 (0.00206),0.9601 (0.00064),0.9603 (0.00063),0.9650 (0.00133),0.9557 (0.00141),0.9203 (0.00128)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9825 (0.00031),0.9824 (0.00032),0.9812 (0.00105),0.9837 (0.00041),0.9649 (0.00062),0.9613 (0.00087),0.9616 (0.00083),0.9675 (0.00100),0.9557 (0.00187),0.9227 (0.00172),0.9612 (0.00006),0.9613 (0.00006),0.9655 (0.00013),0.9572 (0.00001),0.9224 (0.00013)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9771 (0.00094),0.9772 (0.00094),0.9778 (0.00144),0.9765 (0.00143),0.9543 (0.00189),0.9608 (0.00130),0.9610 (0.00126),0.9665 (0.00247),0.9557 (0.00310),0.9217 (0.00258),0.9602 (0.00068),0.9604 (0.00067),0.9649 (0.00140),0.9559 (0.00161),0.9204 (0.00136)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9825 (0.00031),0.9824 (0.00032),0.9812 (0.00105),0.9837 (0.00041),0.9649 (0.00062),0.9613 (0.00087),0.9616 (0.00083),0.9675 (0.00100),0.9557 (0.00187),0.9227 (0.00172),0.9612 (0.00006),0.9613 (0.00006),0.9655 (0.00013),0.9572 (0.00001),0.9224 (0.00013)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9771 (0.00075),0.9771 (0.00074),0.9780 (0.00090),0.9763 (0.00139),0.9542 (0.00149),0.9608 (0.00102),0.9610 (0.00098),0.9669 (0.00219),0.9552 (0.00279),0.9216 (0.00202),0.9601 (0.00091),0.9602 (0.00090),0.9649 (0.00140),0.9556 (0.00167),0.9202 (0.00182)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9569 (0.00069),0.9568 (0.00071),0.9547 (0.00127),0.9589 (0.00036),0.9138 (0.00138),0.9537 (0.00170),0.9536 (0.00168),0.9524 (0.00133),0.9549 (0.00222),0.9074 (0.00341),0.9512 (0.00089),0.9511 (0.00095),0.9483 (0.00209),0.9539 (0.00021),0.9025 (0.00177)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9555 (0.00150),0.9553 (0.00161),0.9508 (0.00405),0.9598 (0.00182),0.9110 (0.00297),0.9529 (0.00166),0.9528 (0.00162),0.9503 (0.00303),0.9552 (0.00370),0.9058 (0.00333),0.9508 (0.00134),0.9506 (0.00145),0.9457 (0.00412),0.9555 (0.00231),0.9017 (0.00264)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9565 (0.00055),0.9564 (0.00057),0.9538 (0.00120),0.9590 (0.00035),0.9130 (0.00109),0.9534 (0.00208),0.9533 (0.00206),0.9517 (0.00163),0.9549 (0.00249),0.9068 (0.00415),0.9509 (0.00092),0.9507 (0.00099),0.9475 (0.00234),0.9540 (0.00038),0.9018 (0.00182)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9556 (0.00143),0.9554 (0.00149),0.9517 (0.00367),0.9592 (0.00237),0.9112 (0.00282),0.9531 (0.00200),0.9530 (0.00197),0.9507 (0.00364),0.9553 (0.00418),0.9063 (0.00399),0.9509 (0.00133),0.9507 (0.00144),0.9465 (0.00417),0.9550 (0.00243),0.9019 (0.00262)
