n_estimators1000 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9956 (0.00013),0.9956 (0.00013),0.9950 (0.00039),0.9961 (0.00039),0.9911 (0.00026),0.9803 (0.00220),0.9803 (0.00219),0.9821 (0.00311),0.9786 (0.00307),0.9606 (0.00440),0.9778 (0.00079),0.9778 (0.00077),0.9797 (0.00122),0.9760 (0.00190),0.9555 (0.00157)
n_estimators1000 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9923 (0.00072),0.9923 (0.00072),0.9934 (0.00071),0.9912 (0.00166),0.9845 (0.00144),0.9791 (0.00235),0.9791 (0.00233),0.9818 (0.00256),0.9765 (0.00390),0.9582 (0.00470),0.9760 (0.00121),0.9761 (0.00118),0.9785 (0.00132),0.9737 (0.00243),0.9520 (0.00240)
n_estimators1000 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9956 (0.00013),0.9956 (0.00013),0.9950 (0.00039),0.9961 (0.00039),0.9911 (0.00026),0.9803 (0.00220),0.9803 (0.00219),0.9821 (0.00311),0.9786 (0.00307),0.9606 (0.00440),0.9778 (0.00079),0.9778 (0.00077),0.9797 (0.00122),0.9760 (0.00190),0.9555 (0.00157)
n_estimators1000 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9921 (0.00079),0.9922 (0.00079),0.9934 (0.00073),0.9909 (0.00182),0.9843 (0.00158),0.9789 (0.00222),0.9790 (0.00220),0.9817 (0.00269),0.9762 (0.00370),0.9578 (0.00444),0.9763 (0.00106),0.9763 (0.00104),0.9787 (0.00116),0.9739 (0.00226),0.9525 (0.00211)
n_estimators1000 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9956 (0.00013),0.9956 (0.00013),0.9950 (0.00039),0.9961 (0.00039),0.9911 (0.00026),0.9803 (0.00220),0.9803 (0.00219),0.9821 (0.00311),0.9786 (0.00307),0.9606 (0.00440),0.9778 (0.00079),0.9778 (0.00077),0.9797 (0.00122),0.9760 (0.00190),0.9555 (0.00157)
n_estimators1000 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9922 (0.00068),0.9922 (0.00067),0.9933 (0.00076),0.9910 (0.00164),0.9843 (0.00136),0.9790 (0.00226),0.9790 (0.00224),0.9819 (0.00249),0.9762 (0.00365),0.9580 (0.00452),0.9761 (0.00124),0.9762 (0.00122),0.9786 (0.00119),0.9738 (0.00246),0.9522 (0.00247)
n_estimators1000 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9761 (0.00034),0.9760 (0.00036),0.9728 (0.00118),0.9793 (0.00065),0.9523 (0.00067),0.9710 (0.00116),0.9710 (0.00117),0.9699 (0.00149),0.9721 (0.00135),0.9420 (0.00233),0.9649 (0.00135),0.9647 (0.00134),0.9599 (0.00116),0.9696 (0.00180),0.9298 (0.00270)
n_estimators1000 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9753 (0.00074),0.9752 (0.00076),0.9723 (0.00143),0.9781 (0.00073),0.9506 (0.00148),0.9709 (0.00156),0.9709 (0.00156),0.9694 (0.00183),0.9724 (0.00205),0.9418 (0.00313),0.9644 (0.00075),0.9642 (0.00073),0.9599 (0.00083),0.9686 (0.00159),0.9288 (0.00152)
n_estimators1000 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9764 (0.00007),0.9763 (0.00009),0.9733 (0.00104),0.9793 (0.00089),0.9528 (0.00014),0.9707 (0.00156),0.9707 (0.00156),0.9696 (0.00179),0.9717 (0.00165),0.9414 (0.00311),0.9650 (0.00151),0.9648 (0.00152),0.9597 (0.00142),0.9700 (0.00170),0.9301 (0.00303)
n_estimators1000 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9753 (0.00065),0.9752 (0.00066),0.9723 (0.00121),0.9782 (0.00080),0.9506 (0.00130),0.9710 (0.00148),0.9709 (0.00147),0.9697 (0.00150),0.9722 (0.00214),0.9419 (0.00295),0.9645 (0.00087),0.9643 (0.00085),0.9601 (0.00081),0.9686 (0.00173),0.9290 (0.00175)
n_estimators1000 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9762 (0.00042),0.9762 (0.00043),0.9731 (0.00113),0.9792 (0.00076),0.9525 (0.00083),0.9709 (0.00118),0.9709 (0.00120),0.9703 (0.00179),0.9715 (0.00090),0.9418 (0.00236),0.9649 (0.00113),0.9647 (0.00112),0.9597 (0.00091),0.9698 (0.00166),0.9298 (0.00226)
n_estimators1000 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9752 (0.00066),0.9751 (0.00068),0.9722 (0.00152),0.9780 (0.00086),0.9504 (0.00132),0.9710 (0.00170),0.9710 (0.00169),0.9693 (0.00180),0.9727 (0.00228),0.9421 (0.00339),0.9646 (0.00076),0.9645 (0.00074),0.9600 (0.00067),0.9690 (0.00144),0.9293 (0.00152)
n_estimators1000 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9761 (0.00045),0.9760 (0.00046),0.9729 (0.00116),0.9792 (0.00062),0.9523 (0.00089),0.9711 (0.00116),0.9711 (0.00116),0.9703 (0.00137),0.9719 (0.00147),0.9422 (0.00233),0.9646 (0.00115),0.9644 (0.00114),0.9594 (0.00079),0.9694 (0.00166),0.9292 (0.00230)
n_estimators1000 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9751 (0.00076),0.9750 (0.00077),0.9721 (0.00153),0.9780 (0.00069),0.9503 (0.00150),0.9709 (0.00150),0.9709 (0.00149),0.9691 (0.00158),0.9726 (0.00210),0.9419 (0.00300),0.9644 (0.00082),0.9643 (0.00080),0.9597 (0.00083),0.9689 (0.00164),0.9289 (0.00166)
