,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
numAttLayers1_hiddenDim128_encLen128,0.9735 (0.00568),0.9736 (0.00565),0.9775 (0.00545),0.9696 (0.00601),0.9470 (0.01135),0.9516 (0.00198),0.9518 (0.00187),0.9562 (0.00215),0.9474 (0.00421),0.9032 (0.00392),0.9462 (0.00106),0.9464 (0.00105),0.9494 (0.00219),0.9434 (0.00229),0.8925 (0.00212)
numAttLayers1_hiddenDim128_encLen256,0.9724 (0.00653),0.9725 (0.00650),0.9763 (0.00639),0.9687 (0.00675),0.9448 (0.01305),0.9518 (0.00194),0.9520 (0.00182),0.9565 (0.00189),0.9475 (0.00442),0.9036 (0.00384),0.9467 (0.00137),0.9469 (0.00139),0.9501 (0.00279),0.9437 (0.00217),0.8935 (0.00275)
numAttLayers1_hiddenDim128_encLen64,0.9737 (0.00579),0.9738 (0.00576),0.9777 (0.00563),0.9700 (0.00603),0.9475 (0.01158),0.9514 (0.00203),0.9516 (0.00194),0.9558 (0.00205),0.9475 (0.00396),0.9029 (0.00403),0.9456 (0.00109),0.9457 (0.00109),0.9480 (0.00211),0.9435 (0.00188),0.8912 (0.00218)
numAttLayers1_hiddenDim256_encLen128,0.9725 (0.00607),0.9726 (0.00602),0.9763 (0.00545),0.9689 (0.00675),0.9450 (0.01213),0.9515 (0.00185),0.9518 (0.00176),0.9563 (0.00249),0.9473 (0.00403),0.9031 (0.00366),0.9460 (0.00132),0.9462 (0.00135),0.9492 (0.00337),0.9432 (0.00259),0.8921 (0.00265)
numAttLayers1_hiddenDim256_encLen256,0.9742 (0.00631),0.9743 (0.00629),0.9780 (0.00653),0.9707 (0.00637),0.9485 (0.01262),0.9517 (0.00199),0.9519 (0.00190),0.9562 (0.00260),0.9476 (0.00422),0.9034 (0.00395),0.9465 (0.00109),0.9467 (0.00110),0.9495 (0.00306),0.9440 (0.00265),0.8931 (0.00218)
numAttLayers1_hiddenDim256_encLen64,0.9731 (0.00626),0.9732 (0.00623),0.9769 (0.00612),0.9695 (0.00656),0.9461 (0.01251),0.9511 (0.00190),0.9513 (0.00183),0.9559 (0.00240),0.9469 (0.00365),0.9023 (0.00377),0.9456 (0.00102),0.9458 (0.00105),0.9485 (0.00271),0.9431 (0.00212),0.8912 (0.00204)
numAttLayers1_hiddenDim64_encLen128,0.9729 (0.00592),0.9731 (0.00589),0.9775 (0.00568),0.9687 (0.00632),0.9459 (0.01184),0.9516 (0.00183),0.9519 (0.00173),0.9570 (0.00199),0.9468 (0.00390),0.9033 (0.00362),0.9464 (0.00123),0.9466 (0.00125),0.9504 (0.00271),0.9430 (0.00203),0.8929 (0.00245)
numAttLayers1_hiddenDim64_encLen256,0.9712 (0.00550),0.9713 (0.00548),0.9756 (0.00544),0.9671 (0.00566),0.9424 (0.01101),0.9515 (0.00194),0.9517 (0.00184),0.9563 (0.00157),0.9471 (0.00395),0.9030 (0.00386),0.9473 (0.00099),0.9475 (0.00100),0.9513 (0.00216),0.9437 (0.00171),0.8945 (0.00198)
numAttLayers1_hiddenDim64_encLen64,0.9728 (0.00625),0.9729 (0.00623),0.9772 (0.00645),0.9687 (0.00619),0.9456 (0.01250),0.9511 (0.00224),0.9513 (0.00215),0.9560 (0.00218),0.9467 (0.00416),0.9022 (0.00444),0.9455 (0.00118),0.9456 (0.00120),0.9485 (0.00262),0.9428 (0.00194),0.8910 (0.00236)
numAttLayers2_hiddenDim128_encLen128,0.9719 (0.00772),0.9720 (0.00767),0.9758 (0.00728),0.9682 (0.00824),0.9438 (0.01542),0.9517 (0.00214),0.9519 (0.00201),0.9562 (0.00246),0.9477 (0.00477),0.9035 (0.00423),0.9465 (0.00083),0.9467 (0.00082),0.9495 (0.00263),0.9440 (0.00254),0.8931 (0.00165)
numAttLayers2_hiddenDim128_encLen256,0.9738 (0.00730),0.9739 (0.00726),0.9777 (0.00707),0.9701 (0.00755),0.9476 (0.01460),0.9521 (0.00233),0.9523 (0.00221),0.9565 (0.00256),0.9482 (0.00501),0.9043 (0.00462),0.9469 (0.00103),0.9471 (0.00101),0.9492 (0.00256),0.9449 (0.00266),0.8939 (0.00206)
numAttLayers2_hiddenDim128_encLen64,0.9725 (0.00717),0.9726 (0.00713),0.9763 (0.00710),0.9691 (0.00755),0.9451 (0.01432),0.9516 (0.00227),0.9518 (0.00216),0.9561 (0.00303),0.9476 (0.00490),0.9032 (0.00449),0.9464 (0.00097),0.9466 (0.00097),0.9490 (0.00336),0.9442 (0.00311),0.8929 (0.00192)
numAttLayers2_hiddenDim256_encLen128,0.9742 (0.00645),0.9743 (0.00642),0.9778 (0.00618),0.9707 (0.00676),0.9484 (0.01291),0.9517 (0.00217),0.9519 (0.00208),0.9558 (0.00287),0.9479 (0.00446),0.9034 (0.00432),0.9461 (0.00112),0.9463 (0.00112),0.9485 (0.00282),0.9440 (0.00267),0.8923 (0.00224)
numAttLayers2_hiddenDim256_encLen256,0.9742 (0.00628),0.9742 (0.00627),0.9775 (0.00678),0.9711 (0.00598),0.9484 (0.01255),0.9517 (0.00237),0.9519 (0.00226),0.9555 (0.00259),0.9482 (0.00485),0.9034 (0.00471),0.9466 (0.00127),0.9467 (0.00131),0.9484 (0.00348),0.9450 (0.00268),0.8932 (0.00254)
numAttLayers2_hiddenDim256_encLen64,0.9683 (0.03977),0.9659 (0.05424),0.9644 (0.08147),0.9720 (0.00624),0.9386 (0.06750),0.9452 (0.03496),0.9429 (0.04939),0.9420 (0.07691),0.9486 (0.00681),0.8925 (0.05762),0.9392 (0.03550),0.9367 (0.05109),0.9339 (0.07846),0.9444 (0.00593),0.8806 (0.05822)
numAttLayers2_hiddenDim64_encLen128,0.9739 (0.00683),0.9740 (0.00680),0.9782 (0.00667),0.9699 (0.00710),0.9479 (0.01366),0.9514 (0.00191),0.9516 (0.00179),0.9562 (0.00254),0.9471 (0.00470),0.9029 (0.00378),0.9464 (0.00097),0.9465 (0.00099),0.9495 (0.00295),0.9436 (0.00254),0.8928 (0.00194)
numAttLayers2_hiddenDim64_encLen256,0.9716 (0.00600),0.9717 (0.00598),0.9756 (0.00604),0.9679 (0.00614),0.9432 (0.01200),0.9513 (0.00211),0.9515 (0.00199),0.9556 (0.00219),0.9475 (0.00460),0.9027 (0.00418),0.9464 (0.00094),0.9466 (0.00092),0.9493 (0.00216),0.9439 (0.00235),0.8929 (0.00187)
numAttLayers2_hiddenDim64_encLen64,0.9749 (0.00710),0.9750 (0.00707),0.9789 (0.00702),0.9711 (0.00725),0.9498 (0.01420),0.9512 (0.00170),0.9514 (0.00160),0.9554 (0.00224),0.9476 (0.00407),0.9025 (0.00337),0.9461 (0.00097),0.9462 (0.00102),0.9481 (0.00299),0.9443 (0.00204),0.8922 (0.00195)
