,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
numAttLayers2_hiddenDim256_encLen256,0.9799 (0.00371),0.9799 (0.00372),0.9812 (0.00485),0.9786 (0.00293),0.9597 (0.00742),0.9571 (0.00197),0.9572 (0.00187),0.9583 (0.00468),0.9561 (0.00597),0.9143 (0.00390),0.9490 (0.00181),0.9491 (0.00179),0.9500 (0.00320),0.9481 (0.00351),0.8981 (0.00361)
numAttLayers2_hiddenDim256_encLen64,0.9813 (0.00315),0.9813 (0.00316),0.9821 (0.00403),0.9805 (0.00286),0.9627 (0.00630),0.9554 (0.00233),0.9555 (0.00227),0.9574 (0.00445),0.9537 (0.00544),0.9109 (0.00464),0.9478 (0.00201),0.9479 (0.00206),0.9492 (0.00467),0.9467 (0.00351),0.8957 (0.00402)
numAttLayers2_hiddenDim64_encLen128,0.9806 (0.00456),0.9806 (0.00458),0.9822 (0.00580),0.9789 (0.00365),0.9611 (0.00912),0.9559 (0.00201),0.9560 (0.00192),0.9576 (0.00373),0.9544 (0.00518),0.9119 (0.00401),0.9496 (0.00186),0.9498 (0.00186),0.9520 (0.00354),0.9476 (0.00326),0.8993 (0.00372)
numAttLayers2_hiddenDim64_encLen256,0.9825 (0.00321),0.9826 (0.00322),0.9843 (0.00391),0.9809 (0.00273),0.9651 (0.00642),0.9567 (0.00238),0.9567 (0.00230),0.9581 (0.00367),0.9554 (0.00533),0.9134 (0.00474),0.9503 (0.00160),0.9504 (0.00158),0.9524 (0.00313),0.9483 (0.00328),0.9006 (0.00320)
numAttLayers2_hiddenDim64_encLen64,0.9804 (0.00437),0.9805 (0.00435),0.9822 (0.00449),0.9787 (0.00457),0.9609 (0.00873),0.9556 (0.00243),0.9557 (0.00241),0.9578 (0.00439),0.9536 (0.00462),0.9112 (0.00484),0.9489 (0.00160),0.9490 (0.00158),0.9510 (0.00322),0.9471 (0.00337),0.8979 (0.00319)
numAttLayers4_hiddenDim128_encLen128,0.9830 (0.00340),0.9830 (0.00341),0.9851 (0.00439),0.9809 (0.00309),0.9660 (0.00680),0.9569 (0.00268),0.9569 (0.00266),0.9583 (0.00423),0.9556 (0.00437),0.9138 (0.00535),0.9498 (0.00136),0.9499 (0.00138),0.9521 (0.00325),0.9478 (0.00282),0.8996 (0.00273)
numAttLayers4_hiddenDim128_encLen256,0.9808 (0.00411),0.9808 (0.00413),0.9822 (0.00519),0.9794 (0.00344),0.9616 (0.00822),0.9569 (0.00198),0.9570 (0.00193),0.9579 (0.00335),0.9561 (0.00444),0.9139 (0.00396),0.9497 (0.00162),0.9498 (0.00168),0.9514 (0.00406),0.9481 (0.00277),0.8994 (0.00325)
numAttLayers4_hiddenDim128_encLen64,0.9797 (0.00690),0.9797 (0.00693),0.9809 (0.00855),0.9786 (0.00563),0.9595 (0.01380),0.9557 (0.00224),0.9558 (0.00222),0.9571 (0.00478),0.9545 (0.00494),0.9115 (0.00447),0.9486 (0.00191),0.9487 (0.00191),0.9502 (0.00346),0.9472 (0.00314),0.8972 (0.00382)
numAttLayers4_hiddenDim256_encLen128,0.9795 (0.00468),0.9795 (0.00469),0.9813 (0.00560),0.9777 (0.00427),0.9590 (0.00937),0.9563 (0.00239),0.9564 (0.00232),0.9576 (0.00357),0.9552 (0.00521),0.9127 (0.00479),0.9488 (0.00168),0.9489 (0.00170),0.9505 (0.00370),0.9474 (0.00323),0.8977 (0.00337)
numAttLayers4_hiddenDim256_encLen256,0.9764 (0.01949),0.9760 (0.02157),0.9756 (0.03397),0.9770 (0.00715),0.9531 (0.03720),0.9546 (0.01516),0.9543 (0.01715),0.9535 (0.02917),0.9555 (0.00591),0.9095 (0.02864),0.9470 (0.01452),0.9467 (0.01653),0.9459 (0.02822),0.9480 (0.00420),0.8944 (0.02746)
numAttLayers4_hiddenDim256_encLen64,0.9362 (0.11751),0.9070 (0.21896),0.9030 (0.23743),0.9429 (0.16387),0.8801 (0.21561),0.9156 (0.11010),0.8863 (0.21308),0.8823 (0.23106),0.9228 (0.15978),0.8390 (0.20085),0.9087 (0.10870),0.8788 (0.21292),0.8747 (0.23071),0.9162 (0.15845),0.8251 (0.19798)
numAttLayers4_hiddenDim64_encLen128,0.9823 (0.00425),0.9823 (0.00425),0.9840 (0.00503),0.9806 (0.00406),0.9646 (0.00850),0.9557 (0.00244),0.9558 (0.00238),0.9587 (0.00354),0.9531 (0.00475),0.9115 (0.00487),0.9492 (0.00147),0.9493 (0.00149),0.9518 (0.00363),0.9469 (0.00307),0.8985 (0.00293)
numAttLayers4_hiddenDim64_encLen256,0.9823 (0.00286),0.9823 (0.00286),0.9841 (0.00369),0.9805 (0.00250),0.9645 (0.00572),0.9556 (0.00214),0.9557 (0.00209),0.9573 (0.00331),0.9540 (0.00433),0.9112 (0.00428),0.9496 (0.00173),0.9497 (0.00172),0.9513 (0.00278),0.9482 (0.00301),0.8993 (0.00347)
numAttLayers4_hiddenDim64_encLen64,0.9824 (0.00510),0.9824 (0.00512),0.9840 (0.00615),0.9808 (0.00440),0.9648 (0.01021),0.9555 (0.00262),0.9555 (0.00258),0.9569 (0.00364),0.9542 (0.00445),0.9110 (0.00523),0.9488 (0.00147),0.9489 (0.00144),0.9512 (0.00272),0.9467 (0.00292),0.8976 (0.00293)
