,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
numAttLayers1_hiddenDim128_encLen128,0.9785 (0.00307),0.9785 (0.00307),0.9796 (0.00356),0.9774 (0.00286),0.9569 (0.00614),0.9550 (0.00218),0.9550 (0.00208),0.9558 (0.00496),0.9544 (0.00629),0.9101 (0.00435),0.9492 (0.00135),0.9493 (0.00134),0.9513 (0.00327),0.9474 (0.00323),0.8984 (0.00269)
numAttLayers1_hiddenDim128_encLen256,0.9779 (0.00371),0.9779 (0.00372),0.9793 (0.00429),0.9765 (0.00336),0.9558 (0.00743),0.9556 (0.00171),0.9557 (0.00167),0.9573 (0.00495),0.9542 (0.00523),0.9113 (0.00340),0.9502 (0.00181),0.9503 (0.00182),0.9529 (0.00338),0.9478 (0.00292),0.9004 (0.00362)
numAttLayers1_hiddenDim128_encLen64,0.9782 (0.00540),0.9783 (0.00541),0.9794 (0.00624),0.9771 (0.00489),0.9565 (0.01080),0.9542 (0.00220),0.9543 (0.00208),0.9555 (0.00457),0.9530 (0.00625),0.9084 (0.00437),0.9483 (0.00140),0.9483 (0.00141),0.9500 (0.00348),0.9467 (0.00320),0.8965 (0.00280)
numAttLayers1_hiddenDim256_encLen128,0.9779 (0.00355),0.9779 (0.00356),0.9788 (0.00415),0.9770 (0.00326),0.9558 (0.00710),0.9551 (0.00238),0.9553 (0.00228),0.9574 (0.00492),0.9532 (0.00635),0.9104 (0.00473),0.9484 (0.00126),0.9485 (0.00127),0.9504 (0.00328),0.9467 (0.00293),0.8968 (0.00252)
numAttLayers1_hiddenDim256_encLen256,0.9779 (0.00420),0.9779 (0.00421),0.9787 (0.00511),0.9770 (0.00373),0.9557 (0.00840),0.9560 (0.00214),0.9561 (0.00207),0.9580 (0.00455),0.9543 (0.00552),0.9121 (0.00426),0.9494 (0.00226),0.9496 (0.00225),0.9516 (0.00388),0.9475 (0.00373),0.8989 (0.00451)
numAttLayers1_hiddenDim256_encLen64,0.9786 (0.00490),0.9786 (0.00492),0.9791 (0.00599),0.9780 (0.00426),0.9571 (0.00981),0.9546 (0.00233),0.9547 (0.00223),0.9563 (0.00544),0.9532 (0.00666),0.9093 (0.00463),0.9474 (0.00139),0.9474 (0.00145),0.9488 (0.00442),0.9461 (0.00345),0.8948 (0.00279)
numAttLayers1_hiddenDim64_encLen128,0.9781 (0.00422),0.9781 (0.00423),0.9795 (0.00505),0.9767 (0.00369),0.9562 (0.00845),0.9546 (0.00161),0.9547 (0.00154),0.9560 (0.00444),0.9535 (0.00521),0.9093 (0.00321),0.9492 (0.00125),0.9493 (0.00121),0.9516 (0.00264),0.9470 (0.00316),0.8983 (0.00250)
numAttLayers1_hiddenDim64_encLen256,0.9812 (0.00440),0.9813 (0.00440),0.9831 (0.00487),0.9795 (0.00415),0.9625 (0.00880),0.9553 (0.00159),0.9554 (0.00160),0.9565 (0.00452),0.9542 (0.00420),0.9106 (0.00318),0.9499 (0.00153),0.9500 (0.00154),0.9519 (0.00275),0.9481 (0.00253),0.8998 (0.00307)
numAttLayers1_hiddenDim64_encLen64,0.9792 (0.00496),0.9792 (0.00496),0.9806 (0.00557),0.9779 (0.00460),0.9584 (0.00992),0.9539 (0.00215),0.9540 (0.00213),0.9550 (0.00512),0.9530 (0.00524),0.9079 (0.00429),0.9486 (0.00179),0.9487 (0.00177),0.9500 (0.00312),0.9473 (0.00316),0.8972 (0.00357)
numAttLayers2_hiddenDim128_encLen128,0.9783 (0.00544),0.9783 (0.00545),0.9790 (0.00633),0.9776 (0.00488),0.9565 (0.01088),0.9566 (0.00217),0.9567 (0.00211),0.9579 (0.00427),0.9555 (0.00526),0.9133 (0.00432),0.9495 (0.00154),0.9496 (0.00152),0.9511 (0.00344),0.9481 (0.00344),0.8990 (0.00307)
numAttLayers2_hiddenDim128_encLen256,0.9797 (0.00389),0.9797 (0.00390),0.9810 (0.00464),0.9785 (0.00358),0.9594 (0.00778),0.9572 (0.00220),0.9572 (0.00215),0.9584 (0.00449),0.9562 (0.00531),0.9144 (0.00439),0.9504 (0.00122),0.9505 (0.00121),0.9519 (0.00324),0.9491 (0.00323),0.9008 (0.00243)
numAttLayers2_hiddenDim128_encLen64,0.9795 (0.00487),0.9796 (0.00486),0.9809 (0.00508),0.9782 (0.00496),0.9591 (0.00973),0.9559 (0.00271),0.9560 (0.00269),0.9576 (0.00427),0.9544 (0.00460),0.9118 (0.00540),0.9490 (0.00152),0.9491 (0.00154),0.9511 (0.00320),0.9471 (0.00266),0.8981 (0.00305)
numAttLayers2_hiddenDim256_encLen128,0.9786 (0.00438),0.9786 (0.00440),0.9792 (0.00549),0.9781 (0.00396),0.9572 (0.00876),0.9565 (0.00243),0.9565 (0.00237),0.9572 (0.00396),0.9558 (0.00517),0.9130 (0.00486),0.9486 (0.00208),0.9486 (0.00206),0.9490 (0.00319),0.9483 (0.00346),0.8972 (0.00415)
