,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
kernellinear C0.001,0.9329 (0.00244),0.9316 (0.00240),0.9142 (0.00132),0.9497 (0.00389),0.8664 (0.00498),0.9320 (0.00414),0.9310 (0.00404),0.9166 (0.00408),0.9459 (0.00737),0.8645 (0.00839),0.9301 (0.00027),0.9288 (0.00031),0.9123 (0.00102),0.9460 (0.00069),0.8608 (0.00051)
kernellinear C0.01,0.9417 (0.00145),0.9411 (0.00139),0.9321 (0.00033),0.9504 (0.00273),0.8836 (0.00295),0.9434 (0.00313),0.9431 (0.00297),0.9384 (0.00166),0.9479 (0.00618),0.8868 (0.00631),0.9382 (0.00039),0.9376 (0.00034),0.9290 (0.00085),0.9464 (0.00136),0.8765 (0.00080)
kernellinear C0.1,0.9447 (0.00138),0.9444 (0.00137),0.9389 (0.00099),0.9500 (0.00176),0.8896 (0.00277),0.9456 (0.00299),0.9455 (0.00281),0.9439 (0.00106),0.9472 (0.00601),0.8912 (0.00599),0.9418 (0.00026),0.9414 (0.00035),0.9360 (0.00194),0.9470 (0.00130),0.8836 (0.00048)
kernellinear C1,0.9448 (0.00096),0.9444 (0.00097),0.9388 (0.00114),0.9502 (0.00090),0.8896 (0.00191),0.9470 (0.00263),0.9468 (0.00244),0.9447 (0.00109),0.9490 (0.00577),0.8939 (0.00526),0.9423 (0.00078),0.9419 (0.00085),0.9362 (0.00201),0.9477 (0.00052),0.8847 (0.00153)
kernellinear C10,0.9461 (0.00097),0.9458 (0.00098),0.9397 (0.00092),0.9519 (0.00104),0.8923 (0.00195),0.9469 (0.00276),0.9468 (0.00255),0.9441 (0.00215),0.9495 (0.00653),0.8939 (0.00554),0.9449 (0.00050),0.9446 (0.00047),0.9393 (0.00076),0.9499 (0.00118),0.8898 (0.00100)
kernellinear C100,0.9469 (0.00114),0.9466 (0.00114),0.9413 (0.00101),0.9519 (0.00128),0.8939 (0.00229),0.9466 (0.00258),0.9465 (0.00235),0.9427 (0.00213),0.9502 (0.00665),0.8934 (0.00520),0.9449 (0.00049),0.9446 (0.00043),0.9390 (0.00067),0.9502 (0.00154),0.8898 (0.00101)
kernelrbf C0.001 gamma0.01,0.8389 (0.00347),0.8161 (0.00485),0.7154 (0.00805),0.9500 (0.00349),0.6994 (0.00580),0.8358 (0.00581),0.8118 (0.00851),0.7090 (0.01449),0.9498 (0.00289),0.6943 (0.00879),0.8403 (0.00510),0.8178 (0.00726),0.7170 (0.01203),0.9519 (0.00179),0.7025 (0.00797)
kernelrbf C0.001 gamma0.1,0.6938 (0.01688),0.7645 (0.00977),0.9933 (0.00116),0.6215 (0.01340),0.4839 (0.02584),0.6947 (0.01330),0.7653 (0.00765),0.9952 (0.00108),0.6218 (0.01051),0.4871 (0.02016),0.6956 (0.01325),0.7654 (0.00763),0.9927 (0.00113),0.6229 (0.01050),0.4863 (0.02024)
kernelrbf C0.001 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5030 (0.00116),0.6680 (0.00052),1.0000 (0.00000),0.5015 (0.00059),0.0533 (0.01098),0.5028 (0.00115),0.6679 (0.00051),1.0000 (0.00000),0.5014 (0.00058),0.0524 (0.01050)
kernelrbf C0.001 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5003 (0.00026),0.6668 (0.00011),1.0000 (0.00000),0.5002 (0.00013),0.0143 (0.01056),0.5004 (0.00027),0.6669 (0.00012),1.0000 (0.00000),0.5002 (0.00013),0.0195 (0.00646)
kernelrbf C0.01 gamma0.01,0.9064 (0.00067),0.9033 (0.00059),0.8747 (0.00039),0.9339 (0.00167),0.8144 (0.00145),0.9063 (0.00187),0.9036 (0.00251),0.8783 (0.00791),0.9304 (0.00357),0.8139 (0.00323),0.9024 (0.00077),0.8993 (0.00110),0.8709 (0.00363),0.9296 (0.00180),0.8065 (0.00126)
kernelrbf C0.01 gamma0.1,0.7867 (0.01005),0.8212 (0.00647),0.9795 (0.00333),0.7071 (0.01138),0.6216 (0.01436),0.7779 (0.01141),0.8154 (0.00744),0.9804 (0.00207),0.6980 (0.01196),0.6079 (0.01705),0.7829 (0.01223),0.8186 (0.00807),0.9792 (0.00234),0.7034 (0.01321),0.6154 (0.01835)
kernelrbf C0.01 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5030 (0.00116),0.6680 (0.00052),1.0000 (0.00000),0.5015 (0.00059),0.0533 (0.01098),0.5028 (0.00115),0.6679 (0.00051),1.0000 (0.00000),0.5014 (0.00058),0.0524 (0.01050)
kernelrbf C0.01 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5003 (0.00026),0.6668 (0.00011),1.0000 (0.00000),0.5002 (0.00013),0.0143 (0.01056),0.5004 (0.00027),0.6669 (0.00012),1.0000 (0.00000),0.5002 (0.00013),0.0195 (0.00646)
kernelrbf C0.1 gamma0.01,0.9372 (0.00162),0.9365 (0.00146),0.9256 (0.00259),0.9477 (0.00475),0.8747 (0.00334),0.9398 (0.00299),0.9393 (0.00286),0.9317 (0.00339),0.9471 (0.00639),0.8798 (0.00606),0.9353 (0.00051),0.9348 (0.00059),0.9273 (0.00202),0.9424 (0.00113),0.8707 (0.00098)
kernelrbf C0.1 gamma0.1,0.9002 (0.00409),0.9063 (0.00343),0.9657 (0.00108),0.8538 (0.00645),0.8073 (0.00725),0.8882 (0.00574),0.8960 (0.00465),0.9635 (0.00480),0.8374 (0.00984),0.7854 (0.00988),0.8902 (0.00570),0.8977 (0.00479),0.9636 (0.00186),0.8403 (0.00847),0.7890 (0.01021)
kernelrbf C0.1 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5030 (0.00116),0.6680 (0.00052),1.0000 (0.00000),0.5015 (0.00059),0.0533 (0.01098),0.5028 (0.00115),0.6679 (0.00051),1.0000 (0.00000),0.5014 (0.00058),0.0524 (0.01050)
kernelrbf C0.1 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5003 (0.00026),0.6668 (0.00011),1.0000 (0.00000),0.5002 (0.00013),0.0143 (0.01056),0.5004 (0.00027),0.6669 (0.00012),1.0000 (0.00000),0.5002 (0.00013),0.0195 (0.00646)
kernelrbf C100 gamma0.01,0.9900 (0.00052),0.9900 (0.00053),0.9886 (0.00089),0.9913 (0.00016),0.9800 (0.00104),0.9533 (0.00172),0.9533 (0.00157),0.9542 (0.00233),0.9525 (0.00485),0.9066 (0.00341),0.9489 (0.00099),0.9490 (0.00093),0.9508 (0.00127),0.9472 (0.00227),0.8978 (0.00197)
kernelrbf C100 gamma0.1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.9415 (0.00375),0.9427 (0.00357),0.9625 (0.00480),0.9238 (0.00656),0.8838 (0.00738),0.9368 (0.00149),0.9382 (0.00131),0.9586 (0.00157),0.9186 (0.00363),0.8745 (0.00279)
kernelrbf C100 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.6732 (0.00893),0.7530 (0.00506),0.9960 (0.00030),0.6053 (0.00655),0.4535 (0.01439),0.6739 (0.00883),0.7528 (0.00495),0.9929 (0.00060),0.6062 (0.00666),0.4516 (0.01374)
kernelrbf C100 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5028 (0.00113),0.6679 (0.00050),1.0000 (0.00000),0.5014 (0.00057),0.0525 (0.01016),0.5020 (0.00073),0.6676 (0.00033),1.0000 (0.00000),0.5010 (0.00037),0.0441 (0.00805)
kernelrbf C10 gamma0.01,0.9745 (0.00220),0.9745 (0.00220),0.9715 (0.00186),0.9774 (0.00254),0.9491 (0.00441),0.9583 (0.00205),0.9583 (0.00195),0.9587 (0.00233),0.9579 (0.00468),0.9165 (0.00409),0.9528 (0.00067),0.9528 (0.00069),0.9542 (0.00130),0.9514 (0.00043),0.9056 (0.00134)
kernelrbf C10 gamma0.1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.9418 (0.00349),0.9430 (0.00329),0.9627 (0.00450),0.9242 (0.00666),0.8844 (0.00683),0.9371 (0.00163),0.9385 (0.00144),0.9589 (0.00161),0.9189 (0.00380),0.8751 (0.00306)
kernelrbf C10 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.6732 (0.00893),0.7530 (0.00506),0.9960 (0.00030),0.6053 (0.00655),0.4535 (0.01439),0.6739 (0.00883),0.7528 (0.00495),0.9929 (0.00060),0.6062 (0.00666),0.4516 (0.01374)
kernelrbf C10 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5028 (0.00113),0.6679 (0.00050),1.0000 (0.00000),0.5014 (0.00057),0.0525 (0.01016),0.5020 (0.00073),0.6676 (0.00033),1.0000 (0.00000),0.5010 (0.00037),0.0441 (0.00805)
kernelrbf C1 gamma0.01,0.9574 (0.00179),0.9571 (0.00177),0.9516 (0.00118),0.9627 (0.00238),0.9148 (0.00359),0.9528 (0.00172),0.9527 (0.00156),0.9515 (0.00166),0.9540 (0.00475),0.9056 (0.00344),0.9485 (0.00052),0.9484 (0.00052),0.9475 (0.00068),0.9493 (0.00066),0.8969 (0.00103)
kernelrbf C1 gamma0.1,0.9896 (0.00103),0.9896 (0.00103),0.9886 (0.00113),0.9905 (0.00112),0.9791 (0.00207),0.9399 (0.00317),0.9413 (0.00299),0.9629 (0.00414),0.9206 (0.00579),0.8808 (0.00618),0.9358 (0.00203),0.9373 (0.00185),0.9593 (0.00091),0.9162 (0.00377),0.8726 (0.00388)
kernelrbf C1 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.6489 (0.01076),0.7395 (0.00579),0.9964 (0.00079),0.5879 (0.00750),0.4140 (0.01734),0.6479 (0.00871),0.7386 (0.00467),0.9946 (0.00068),0.5874 (0.00615),0.4105 (0.01389)
kernelrbf C1 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5013 (0.00086),0.6673 (0.00038),1.0000 (0.00000),0.5007 (0.00043),0.0348 (0.01155),0.5010 (0.00056),0.6671 (0.00025),1.0000 (0.00000),0.5005 (0.00028),0.0297 (0.00878)
