,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
kernellinear C0.001,0.9228 (0.00053),0.9210 (0.00054),0.9005 (0.00061),0.9425 (0.00075),0.8464 (0.00108),0.9254 (0.00109),0.9240 (0.00102),0.9074 (0.00113),0.9413 (0.00253),0.8513 (0.00227),0.9217 (0.00089),0.9200 (0.00099),0.8997 (0.00191),0.9411 (0.00052),0.8443 (0.00171)
kernellinear C0.01,0.9347 (0.00031),0.9341 (0.00037),0.9256 (0.00119),0.9429 (0.00054),0.8696 (0.00060),0.9361 (0.00125),0.9357 (0.00119),0.9293 (0.00035),0.9421 (0.00229),0.8723 (0.00253),0.9309 (0.00071),0.9301 (0.00080),0.9202 (0.00185),0.9403 (0.00043),0.8620 (0.00139)
kernellinear C0.1,0.9373 (0.00070),0.9370 (0.00076),0.9321 (0.00148),0.9420 (0.00034),0.8747 (0.00140),0.9387 (0.00125),0.9384 (0.00120),0.9348 (0.00039),0.9421 (0.00213),0.8774 (0.00252),0.9348 (0.00037),0.9344 (0.00042),0.9286 (0.00113),0.9404 (0.00046),0.8698 (0.00073)
kernellinear C1,0.9381 (0.00054),0.9377 (0.00056),0.9331 (0.00108),0.9424 (0.00071),0.8762 (0.00107),0.9395 (0.00135),0.9393 (0.00125),0.9364 (0.00040),0.9422 (0.00290),0.8789 (0.00273),0.9359 (0.00026),0.9354 (0.00028),0.9291 (0.00060),0.9418 (0.00031),0.8718 (0.00052)
kernellinear C10,0.9384 (0.00093),0.9381 (0.00095),0.9330 (0.00136),0.9432 (0.00094),0.8769 (0.00185),0.9396 (0.00120),0.9394 (0.00113),0.9360 (0.00059),0.9428 (0.00229),0.8793 (0.00241),0.9359 (0.00069),0.9354 (0.00074),0.9286 (0.00144),0.9423 (0.00008),0.8719 (0.00136)
kernellinear C100,0.9384 (0.00113),0.9381 (0.00115),0.9330 (0.00156),0.9432 (0.00099),0.8769 (0.00225),0.9394 (0.00161),0.9392 (0.00156),0.9355 (0.00087),0.9429 (0.00247),0.8788 (0.00323),0.9359 (0.00054),0.9354 (0.00059),0.9286 (0.00121),0.9424 (0.00014),0.8719 (0.00107)
kernelrbf C0.001 gamma0.01,0.8228 (0.00071),0.7943 (0.00171),0.6842 (0.00470),0.9467 (0.00432),0.6720 (0.00100),0.8249 (0.00294),0.7965 (0.00516),0.6857 (0.01023),0.9503 (0.00512),0.6766 (0.00312),0.8190 (0.00264),0.7889 (0.00449),0.6767 (0.00833),0.9458 (0.00356),0.6654 (0.00320)
kernelrbf C0.001 gamma0.1,0.6654 (0.01687),0.7479 (0.00916),0.9921 (0.00216),0.6003 (0.01263),0.4368 (0.02561),0.6634 (0.01657),0.7471 (0.00909),0.9936 (0.00133),0.5987 (0.01217),0.4350 (0.02594),0.6654 (0.01733),0.7473 (0.00950),0.9889 (0.00187),0.6007 (0.01303),0.4336 (0.02686)
kernelrbf C0.001 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5030 (0.00208),0.6680 (0.00093),1.0000 (0.00000),0.5015 (0.00105),0.0505 (0.02074),0.5029 (0.00226),0.6680 (0.00101),1.0000 (0.00000),0.5015 (0.00114),0.0496 (0.02168)
kernelrbf C0.001 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5005 (0.00032),0.6669 (0.00014),1.0000 (0.00000),0.5003 (0.00016),0.0214 (0.00734),0.5004 (0.00024),0.6668 (0.00011),1.0000 (0.00000),0.5002 (0.00012),0.0180 (0.00601)
kernelrbf C0.01 gamma0.01,0.9061 (0.00060),0.9028 (0.00071),0.8728 (0.00247),0.9350 (0.00205),0.8140 (0.00118),0.9108 (0.00226),0.9081 (0.00249),0.8814 (0.00418),0.9365 (0.00166),0.8231 (0.00439),0.9037 (0.00050),0.9004 (0.00071),0.8709 (0.00260),0.9319 (0.00161),0.8090 (0.00082)
kernelrbf C0.01 gamma0.1,0.8317 (0.00685),0.8504 (0.00473),0.9568 (0.00365),0.7654 (0.01003),0.6852 (0.01040),0.8281 (0.01011),0.8481 (0.00740),0.9595 (0.00199),0.7601 (0.01277),0.6802 (0.01654),0.8239 (0.00923),0.8437 (0.00666),0.9498 (0.00214),0.7590 (0.01220),0.6695 (0.01505)
kernelrbf C0.01 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5030 (0.00208),0.6680 (0.00093),1.0000 (0.00000),0.5015 (0.00105),0.0505 (0.02074),0.5029 (0.00226),0.6680 (0.00101),1.0000 (0.00000),0.5015 (0.00114),0.0496 (0.02168)
kernelrbf C0.01 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5005 (0.00032),0.6669 (0.00014),1.0000 (0.00000),0.5003 (0.00016),0.0214 (0.00734),0.5004 (0.00024),0.6668 (0.00011),1.0000 (0.00000),0.5002 (0.00012),0.0180 (0.00601)
kernelrbf C0.1 gamma0.01,0.9331 (0.00032),0.9322 (0.00033),0.9192 (0.00081),0.9456 (0.00072),0.8666 (0.00064),0.9359 (0.00138),0.9352 (0.00133),0.9246 (0.00044),0.9461 (0.00228),0.8721 (0.00279),0.9316 (0.00082),0.9308 (0.00093),0.9197 (0.00226),0.9422 (0.00060),0.8635 (0.00159)
kernelrbf C0.1 gamma0.1,0.9206 (0.00314),0.9234 (0.00267),0.9568 (0.00198),0.8923 (0.00654),0.8435 (0.00571),0.9105 (0.00593),0.9144 (0.00521),0.9552 (0.00133),0.8769 (0.00953),0.8243 (0.01105),0.9054 (0.00403),0.9092 (0.00335),0.9464 (0.00220),0.8748 (0.00799),0.8137 (0.00730)
kernelrbf C0.1 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5030 (0.00208),0.6680 (0.00093),1.0000 (0.00000),0.5015 (0.00105),0.0505 (0.02074),0.5029 (0.00226),0.6680 (0.00101),1.0000 (0.00000),0.5015 (0.00114),0.0496 (0.02168)
kernelrbf C0.1 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5005 (0.00032),0.6669 (0.00014),1.0000 (0.00000),0.5003 (0.00016),0.0214 (0.00734),0.5004 (0.00024),0.6668 (0.00011),1.0000 (0.00000),0.5002 (0.00012),0.0180 (0.00601)
kernelrbf C100 gamma0.01,0.9785 (0.00088),0.9784 (0.00089),0.9753 (0.00129),0.9815 (0.00094),0.9570 (0.00175),0.9502 (0.00275),0.9501 (0.00263),0.9484 (0.00066),0.9518 (0.00508),0.9003 (0.00551),0.9455 (0.00080),0.9453 (0.00074),0.9424 (0.00072),0.9483 (0.00197),0.8910 (0.00162)
kernelrbf C100 gamma0.1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.9404 (0.00320),0.9411 (0.00306),0.9534 (0.00297),0.9291 (0.00503),0.8810 (0.00633),0.9361 (0.00078),0.9368 (0.00078),0.9473 (0.00276),0.9266 (0.00247),0.8724 (0.00157)
kernelrbf C100 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.6843 (0.00800),0.7585 (0.00451),0.9915 (0.00081),0.6142 (0.00617),0.4671 (0.01229),0.6880 (0.00868),0.7598 (0.00505),0.9869 (0.00032),0.6177 (0.00681),0.4690 (0.01380)
kernelrbf C100 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5034 (0.00076),0.6682 (0.00034),1.0000 (0.00000),0.5017 (0.00038),0.0578 (0.00692),0.5030 (0.00085),0.6680 (0.00037),0.9999 (0.00007),0.5015 (0.00043),0.0542 (0.00798)
kernelrbf C10 gamma0.01,0.9631 (0.00074),0.9630 (0.00075),0.9597 (0.00108),0.9664 (0.00064),0.9263 (0.00148),0.9521 (0.00341),0.9521 (0.00338),0.9511 (0.00276),0.9530 (0.00409),0.9042 (0.00682),0.9479 (0.00058),0.9477 (0.00056),0.9446 (0.00056),0.9508 (0.00104),0.8957 (0.00116)
kernelrbf C10 gamma0.1,0.9997 (0.00010),0.9997 (0.00010),0.9995 (0.00014),0.9999 (0.00007),0.9994 (0.00019),0.9407 (0.00327),0.9415 (0.00308),0.9532 (0.00225),0.9300 (0.00549),0.8818 (0.00643),0.9377 (0.00104),0.9384 (0.00093),0.9489 (0.00239),0.9281 (0.00321),0.8756 (0.00202)
kernelrbf C10 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.6843 (0.00800),0.7585 (0.00451),0.9915 (0.00081),0.6142 (0.00617),0.4671 (0.01229),0.6880 (0.00868),0.7598 (0.00505),0.9869 (0.00032),0.6177 (0.00681),0.4690 (0.01380)
kernelrbf C10 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5034 (0.00076),0.6682 (0.00034),1.0000 (0.00000),0.5017 (0.00038),0.0578 (0.00692),0.5030 (0.00085),0.6680 (0.00037),0.9999 (0.00007),0.5015 (0.00043),0.0542 (0.00798)
kernelrbf C1 gamma0.01,0.9501 (0.00045),0.9499 (0.00043),0.9451 (0.00009),0.9547 (0.00079),0.9003 (0.00090),0.9485 (0.00189),0.9484 (0.00188),0.9465 (0.00171),0.9504 (0.00212),0.8971 (0.00377),0.9437 (0.00050),0.9435 (0.00048),0.9397 (0.00025),0.9474 (0.00074),0.8875 (0.00100)
kernelrbf C1 gamma0.1,0.9825 (0.00109),0.9825 (0.00110),0.9804 (0.00172),0.9846 (0.00079),0.9650 (0.00217),0.9422 (0.00350),0.9430 (0.00330),0.9549 (0.00238),0.9314 (0.00620),0.8848 (0.00688),0.9394 (0.00118),0.9401 (0.00110),0.9515 (0.00173),0.9290 (0.00261),0.8790 (0.00232)
kernelrbf C1 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.6620 (0.00846),0.7461 (0.00459),0.9931 (0.00072),0.5975 (0.00613),0.4323 (0.01327),0.6653 (0.00700),0.7474 (0.00380),0.9899 (0.00103),0.6003 (0.00522),0.4346 (0.01078)
kernelrbf C1 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5019 (0.00022),0.6675 (0.00010),1.0000 (0.00000),0.5010 (0.00011),0.0440 (0.00251),0.5015 (0.00037),0.6673 (0.00017),1.0000 (0.00000),0.5008 (0.00019),0.0388 (0.00491)
