,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
tRatio0.001_WDDRate0.05,0.9774 (0.00338),0.9775 (0.00337),0.9787 (0.00366),0.9762 (0.00406),0.9549 (0.00676),0.9704 (0.00398),0.9704 (0.00396),0.9714 (0.00387),0.9695 (0.00511),0.9408 (0.00796),0.9674 (0.00228),0.9673 (0.00227),0.9651 (0.00268),0.9695 (0.00318),0.9347 (0.00455)
tRatio0.001_WDDRate0.1,0.9734 (0.00485),0.9734 (0.00482),0.9752 (0.00421),0.9717 (0.00579),0.9468 (0.00970),0.9680 (0.00493),0.9681 (0.00486),0.9703 (0.00398),0.9659 (0.00702),0.9361 (0.00984),0.9655 (0.00288),0.9654 (0.00288),0.9634 (0.00310),0.9674 (0.00338),0.9310 (0.00577)
tRatio0.001_WDDRate0,0.9796 (0.00267),0.9796 (0.00267),0.9805 (0.00296),0.9787 (0.00306),0.9592 (0.00534),0.9717 (0.00394),0.9718 (0.00393),0.9724 (0.00438),0.9712 (0.00520),0.9435 (0.00787),0.9689 (0.00258),0.9688 (0.00259),0.9656 (0.00310),0.9721 (0.00295),0.9379 (0.00515)
tRatio0.001_WDDRate1,0.9656 (0.00376),0.9657 (0.00373),0.9689 (0.00374),0.9625 (0.00448),0.9311 (0.00750),0.9627 (0.00389),0.9629 (0.00380),0.9662 (0.00361),0.9596 (0.00621),0.9255 (0.00774),0.9612 (0.00290),0.9611 (0.00295),0.9597 (0.00440),0.9625 (0.00272),0.9223 (0.00580)
tRatio0.01_WDDRate0.05,0.9835 (0.00183),0.9835 (0.00184),0.9839 (0.00234),0.9831 (0.00207),0.9670 (0.00367),0.9728 (0.00337),0.9727 (0.00333),0.9722 (0.00300),0.9733 (0.00525),0.9455 (0.00674),0.9699 (0.00174),0.9698 (0.00173),0.9662 (0.00185),0.9734 (0.00256),0.9398 (0.00348)
tRatio0.01_WDDRate0.1,0.9809 (0.00162),0.9809 (0.00162),0.9814 (0.00218),0.9803 (0.00240),0.9617 (0.00324),0.9723 (0.00316),0.9723 (0.00313),0.9725 (0.00342),0.9721 (0.00479),0.9446 (0.00631),0.9693 (0.00192),0.9692 (0.00192),0.9658 (0.00214),0.9726 (0.00238),0.9387 (0.00384)
tRatio0.01_WDDRate0,0.9834 (0.00196),0.9834 (0.00196),0.9840 (0.00215),0.9827 (0.00233),0.9667 (0.00393),0.9748 (0.00332),0.9748 (0.00329),0.9749 (0.00266),0.9746 (0.00465),0.9495 (0.00664),0.9721 (0.00124),0.9720 (0.00123),0.9683 (0.00166),0.9757 (0.00198),0.9442 (0.00248)
tRatio0.01_WDDRate1,0.9728 (0.00301),0.9729 (0.00297),0.9746 (0.00271),0.9712 (0.00461),0.9457 (0.00601),0.9692 (0.00307),0.9693 (0.00296),0.9721 (0.00231),0.9666 (0.00626),0.9385 (0.00609),0.9658 (0.00199),0.9658 (0.00199),0.9632 (0.00301),0.9683 (0.00329),0.9317 (0.00398)
tRatio0.1_WDDRate0.05,0.9858 (0.00272),0.9858 (0.00272),0.9864 (0.00262),0.9852 (0.00296),0.9716 (0.00544),0.9729 (0.00376),0.9729 (0.00373),0.9720 (0.00405),0.9738 (0.00522),0.9458 (0.00751),0.9705 (0.00178),0.9704 (0.00179),0.9669 (0.00218),0.9738 (0.00220),0.9410 (0.00357)
tRatio0.1_WDDRate0.1,0.9840 (0.00256),0.9840 (0.00255),0.9854 (0.00240),0.9827 (0.00310),0.9680 (0.00511),0.9731 (0.00378),0.9731 (0.00374),0.9731 (0.00374),0.9730 (0.00556),0.9462 (0.00755),0.9699 (0.00188),0.9698 (0.00189),0.9669 (0.00235),0.9728 (0.00207),0.9399 (0.00376)
tRatio0.1_WDDRate0,0.9833 (0.00153),0.9833 (0.00153),0.9837 (0.00204),0.9828 (0.00161),0.9665 (0.00306),0.9751 (0.00395),0.9751 (0.00392),0.9754 (0.00307),0.9749 (0.00527),0.9503 (0.00790),0.9722 (0.00106),0.9721 (0.00105),0.9680 (0.00150),0.9762 (0.00184),0.9444 (0.00212)
tRatio0.1_WDDRate1,0.9791 (0.00228),0.9791 (0.00227),0.9799 (0.00321),0.9784 (0.00354),0.9583 (0.00456),0.9722 (0.00262),0.9722 (0.00256),0.9729 (0.00240),0.9715 (0.00491),0.9444 (0.00523),0.9689 (0.00205),0.9688 (0.00204),0.9656 (0.00201),0.9720 (0.00290),0.9378 (0.00411)
tRatio0.2_WDDRate0.05,0.9805 (0.00183),0.9806 (0.00182),0.9825 (0.00184),0.9787 (0.00275),0.9611 (0.00366),0.9730 (0.00361),0.9731 (0.00355),0.9753 (0.00247),0.9709 (0.00557),0.9460 (0.00720),0.9701 (0.00182),0.9700 (0.00182),0.9682 (0.00206),0.9718 (0.00198),0.9401 (0.00364)
tRatio0.2_WDDRate0.1,0.9787 (0.00192),0.9788 (0.00191),0.9808 (0.00189),0.9768 (0.00287),0.9575 (0.00384),0.9728 (0.00334),0.9728 (0.00327),0.9751 (0.00178),0.9705 (0.00553),0.9455 (0.00666),0.9693 (0.00169),0.9692 (0.00169),0.9671 (0.00169),0.9713 (0.00210),0.9385 (0.00339)
tRatio0.2_WDDRate0,0.9827 (0.00334),0.9827 (0.00332),0.9843 (0.00303),0.9812 (0.00383),0.9654 (0.00667),0.9745 (0.00391),0.9745 (0.00386),0.9760 (0.00259),0.9730 (0.00590),0.9490 (0.00780),0.9722 (0.00132),0.9722 (0.00131),0.9692 (0.00148),0.9751 (0.00202),0.9445 (0.00264)
tRatio0.2_WDDRate1,0.9726 (0.00266),0.9727 (0.00264),0.9751 (0.00236),0.9703 (0.00328),0.9452 (0.00532),0.9691 (0.00288),0.9692 (0.00284),0.9729 (0.00321),0.9657 (0.00450),0.9383 (0.00574),0.9669 (0.00143),0.9668 (0.00145),0.9646 (0.00199),0.9690 (0.00157),0.9337 (0.00287)
tRatio0.5_WDDRate0.05,0.9860 (0.00220),0.9860 (0.00219),0.9884 (0.00224),0.9837 (0.00235),0.9720 (0.00440),0.9729 (0.00411),0.9729 (0.00405),0.9751 (0.00307),0.9708 (0.00594),0.9458 (0.00820),0.9706 (0.00122),0.9706 (0.00121),0.9696 (0.00134),0.9716 (0.00193),0.9413 (0.00245)
tRatio0.5_WDDRate0.1,0.9831 (0.00263),0.9831 (0.00261),0.9861 (0.00242),0.9802 (0.00316),0.9662 (0.00525),0.9725 (0.00361),0.9726 (0.00354),0.9757 (0.00262),0.9696 (0.00563),0.9451 (0.00719),0.9695 (0.00131),0.9695 (0.00131),0.9689 (0.00171),0.9700 (0.00191),0.9390 (0.00263)
tRatio0.5_WDDRate0,0.9841 (0.00465),0.9842 (0.00463),0.9862 (0.00428),0.9821 (0.00520),0.9683 (0.00929),0.9743 (0.00376),0.9744 (0.00369),0.9763 (0.00192),0.9725 (0.00609),0.9487 (0.00750),0.9729 (0.00109),0.9728 (0.00108),0.9707 (0.00181),0.9750 (0.00230),0.9458 (0.00218)
tRatio0.5_WDDRate1,0.9754 (0.00262),0.9755 (0.00258),0.9798 (0.00153),0.9713 (0.00411),0.9509 (0.00522),0.9701 (0.00386),0.9703 (0.00380),0.9754 (0.00261),0.9652 (0.00562),0.9403 (0.00770),0.9681 (0.00200),0.9681 (0.00196),0.9680 (0.00141),0.9681 (0.00369),0.9361 (0.00401)
tRatio1.0_WDDRate0.05,0.9879 (0.00175),0.9879 (0.00174),0.9899 (0.00177),0.9859 (0.00198),0.9758 (0.00349),0.9729 (0.00413),0.9729 (0.00409),0.9747 (0.00329),0.9712 (0.00548),0.9458 (0.00826),0.9707 (0.00143),0.9707 (0.00141),0.9691 (0.00134),0.9722 (0.00234),0.9414 (0.00287)
tRatio1.0_WDDRate0.1,0.9846 (0.00199),0.9846 (0.00198),0.9871 (0.00179),0.9821 (0.00234),0.9691 (0.00398),0.9725 (0.00431),0.9725 (0.00425),0.9746 (0.00308),0.9704 (0.00594),0.9449 (0.00859),0.9708 (0.00116),0.9708 (0.00114),0.9695 (0.00099),0.9721 (0.00205),0.9416 (0.00232)
tRatio1.0_WDDRate0,0.9865 (0.00551),0.9866 (0.00549),0.9879 (0.00470),0.9852 (0.00639),0.9731 (0.01101),0.9742 (0.00415),0.9743 (0.00409),0.9751 (0.00268),0.9734 (0.00633),0.9485 (0.00828),0.9725 (0.00142),0.9724 (0.00142),0.9700 (0.00191),0.9748 (0.00206),0.9450 (0.00285)
tRatio1.0_WDDRate1,0.9786 (0.00303),0.9787 (0.00300),0.9820 (0.00290),0.9754 (0.00395),0.9573 (0.00605),0.9712 (0.00414),0.9713 (0.00406),0.9756 (0.00292),0.9671 (0.00632),0.9425 (0.00824),0.9691 (0.00166),0.9690 (0.00161),0.9688 (0.00167),0.9693 (0.00353),0.9381 (0.00332)
tRatio1.5_WDDRate0.05,0.9898 (0.00186),0.9898 (0.00186),0.9916 (0.00183),0.9880 (0.00202),0.9795 (0.00372),0.9720 (0.00410),0.9721 (0.00405),0.9734 (0.00301),0.9708 (0.00577),0.9441 (0.00820),0.9703 (0.00157),0.9702 (0.00154),0.9684 (0.00134),0.9720 (0.00281),0.9405 (0.00315)
tRatio1.5_WDDRate0.1,0.9873 (0.00206),0.9873 (0.00207),0.9887 (0.00277),0.9860 (0.00203),0.9746 (0.00413),0.9722 (0.00418),0.9722 (0.00415),0.9732 (0.00364),0.9712 (0.00536),0.9444 (0.00835),0.9698 (0.00158),0.9697 (0.00157),0.9671 (0.00214),0.9724 (0.00266),0.9397 (0.00316)
tRatio1.5_WDDRate0,0.9873 (0.00535),0.9873 (0.00534),0.9886 (0.00475),0.9860 (0.00601),0.9745 (0.01070),0.9737 (0.00360),0.9737 (0.00354),0.9746 (0.00196),0.9729 (0.00588),0.9474 (0.00720),0.9724 (0.00124),0.9723 (0.00122),0.9703 (0.00154),0.9744 (0.00227),0.9448 (0.00248)
tRatio1.5_WDDRate1,0.9821 (0.00306),0.9821 (0.00305),0.9833 (0.00295),0.9809 (0.00366),0.9641 (0.00612),0.9721 (0.00345),0.9721 (0.00341),0.9735 (0.00254),0.9707 (0.00495),0.9441 (0.00690),0.9700 (0.00101),0.9699 (0.00100),0.9679 (0.00242),0.9719 (0.00263),0.9400 (0.00203)
