,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
tRatio0.001_WDDRate0.05,0.9667 (0.00176),0.9668 (0.00174),0.9696 (0.00203),0.9639 (0.00237),0.9334 (0.00351),0.9636 (0.00245),0.9638 (0.00241),0.9690 (0.00242),0.9586 (0.00352),0.9272 (0.00489),0.9614 (0.00099),0.9615 (0.00098),0.9640 (0.00130),0.9590 (0.00149),0.9228 (0.00197)
tRatio0.001_WDDRate0.1,0.9631 (0.00243),0.9632 (0.00241),0.9675 (0.00267),0.9590 (0.00315),0.9262 (0.00486),0.9608 (0.00252),0.9610 (0.00248),0.9673 (0.00304),0.9548 (0.00347),0.9217 (0.00502),0.9586 (0.00149),0.9588 (0.00148),0.9625 (0.00184),0.9551 (0.00202),0.9173 (0.00298)
tRatio0.001_WDDRate0,0.9747 (0.00339),0.9747 (0.00336),0.9773 (0.00307),0.9722 (0.00417),0.9493 (0.00677),0.9675 (0.00292),0.9677 (0.00289),0.9722 (0.00312),0.9632 (0.00372),0.9351 (0.00583),0.9666 (0.00356),0.9667 (0.00354),0.9690 (0.00359),0.9645 (0.00406),0.9333 (0.00712)
tRatio0.001_WDDRate1,0.9475 (0.00174),0.9476 (0.00169),0.9493 (0.00177),0.9459 (0.00307),0.8950 (0.00348),0.9452 (0.00074),0.9454 (0.00085),0.9484 (0.00353),0.9424 (0.00228),0.8904 (0.00149),0.9445 (0.00091),0.9445 (0.00097),0.9447 (0.00223),0.9443 (0.00088),0.8890 (0.00181)
tRatio0.01_WDDRate0.05,0.9728 (0.00192),0.9729 (0.00190),0.9748 (0.00146),0.9710 (0.00267),0.9457 (0.00384),0.9664 (0.00295),0.9665 (0.00292),0.9704 (0.00279),0.9627 (0.00371),0.9327 (0.00590),0.9661 (0.00229),0.9661 (0.00228),0.9675 (0.00222),0.9647 (0.00269),0.9321 (0.00459)
tRatio0.01_WDDRate0.1,0.9703 (0.00140),0.9704 (0.00139),0.9729 (0.00150),0.9679 (0.00194),0.9406 (0.00281),0.9653 (0.00261),0.9655 (0.00258),0.9697 (0.00255),0.9613 (0.00334),0.9307 (0.00522),0.9637 (0.00155),0.9637 (0.00154),0.9656 (0.00160),0.9619 (0.00205),0.9273 (0.00310)
tRatio0.01_WDDRate0,0.9861 (0.00358),0.9861 (0.00356),0.9877 (0.00320),0.9846 (0.00438),0.9722 (0.00715),0.9732 (0.00243),0.9733 (0.00238),0.9763 (0.00238),0.9703 (0.00440),0.9464 (0.00484),0.9719 (0.00291),0.9719 (0.00288),0.9732 (0.00246),0.9707 (0.00391),0.9438 (0.00582)
tRatio0.01_WDDRate1,0.9600 (0.00150),0.9602 (0.00146),0.9658 (0.00240),0.9547 (0.00312),0.9200 (0.00299),0.9577 (0.00255),0.9580 (0.00255),0.9652 (0.00394),0.9509 (0.00332),0.9155 (0.00512),0.9557 (0.00139),0.9560 (0.00138),0.9615 (0.00210),0.9505 (0.00214),0.9115 (0.00279)
tRatio0.1_WDDRate0.05,0.9805 (0.00229),0.9805 (0.00228),0.9820 (0.00193),0.9790 (0.00325),0.9609 (0.00459),0.9728 (0.00271),0.9729 (0.00268),0.9765 (0.00291),0.9694 (0.00394),0.9457 (0.00541),0.9726 (0.00206),0.9727 (0.00205),0.9741 (0.00241),0.9712 (0.00274),0.9453 (0.00412)
tRatio0.1_WDDRate0.1,0.9781 (0.00301),0.9782 (0.00299),0.9802 (0.00255),0.9761 (0.00378),0.9563 (0.00601),0.9707 (0.00345),0.9709 (0.00342),0.9746 (0.00325),0.9672 (0.00412),0.9415 (0.00689),0.9704 (0.00298),0.9705 (0.00296),0.9723 (0.00297),0.9687 (0.00338),0.9409 (0.00595)
tRatio0.1_WDDRate0,0.9901 (0.00291),0.9901 (0.00290),0.9909 (0.00271),0.9892 (0.00331),0.9801 (0.00581),0.9754 (0.00176),0.9755 (0.00173),0.9776 (0.00237),0.9734 (0.00338),0.9509 (0.00350),0.9739 (0.00149),0.9740 (0.00148),0.9748 (0.00179),0.9732 (0.00201),0.9479 (0.00297)
tRatio0.1_WDDRate1,0.9680 (0.00261),0.9682 (0.00256),0.9719 (0.00222),0.9644 (0.00425),0.9361 (0.00521),0.9633 (0.00348),0.9636 (0.00339),0.9693 (0.00296),0.9579 (0.00543),0.9267 (0.00691),0.9611 (0.00198),0.9613 (0.00192),0.9653 (0.00214),0.9574 (0.00357),0.9223 (0.00393)
tRatio0.2_WDDRate0.05,0.9805 (0.00223),0.9806 (0.00222),0.9831 (0.00246),0.9780 (0.00267),0.9610 (0.00446),0.9728 (0.00243),0.9729 (0.00242),0.9774 (0.00284),0.9684 (0.00280),0.9456 (0.00485),0.9725 (0.00194),0.9725 (0.00193),0.9746 (0.00240),0.9704 (0.00249),0.9449 (0.00388)
tRatio0.2_WDDRate0.1,0.9794 (0.00192),0.9795 (0.00191),0.9822 (0.00205),0.9768 (0.00226),0.9589 (0.00384),0.9722 (0.00282),0.9723 (0.00281),0.9767 (0.00315),0.9680 (0.00289),0.9445 (0.00563),0.9717 (0.00157),0.9718 (0.00156),0.9738 (0.00185),0.9698 (0.00188),0.9435 (0.00313)
tRatio0.2_WDDRate0,0.9915 (0.00202),0.9915 (0.00202),0.9925 (0.00193),0.9905 (0.00224),0.9829 (0.00404),0.9765 (0.00120),0.9766 (0.00118),0.9788 (0.00195),0.9744 (0.00245),0.9531 (0.00239),0.9748 (0.00090),0.9748 (0.00089),0.9757 (0.00122),0.9740 (0.00139),0.9496 (0.00179)
tRatio0.2_WDDRate1,0.9704 (0.00243),0.9705 (0.00241),0.9742 (0.00271),0.9668 (0.00307),0.9408 (0.00486),0.9649 (0.00281),0.9652 (0.00275),0.9709 (0.00235),0.9595 (0.00436),0.9300 (0.00559),0.9630 (0.00247),0.9632 (0.00245),0.9669 (0.00305),0.9595 (0.00325),0.9261 (0.00493)
tRatio0.5_WDDRate0.05,0.9910 (0.00149),0.9910 (0.00148),0.9922 (0.00159),0.9898 (0.00169),0.9819 (0.00297),0.9763 (0.00167),0.9763 (0.00167),0.9785 (0.00210),0.9742 (0.00231),0.9526 (0.00335),0.9747 (0.00094),0.9747 (0.00094),0.9753 (0.00120),0.9741 (0.00154),0.9494 (0.00189)
tRatio0.5_WDDRate0.1,0.9891 (0.00156),0.9891 (0.00155),0.9908 (0.00147),0.9874 (0.00182),0.9781 (0.00312),0.9754 (0.00160),0.9755 (0.00157),0.9784 (0.00152),0.9726 (0.00280),0.9509 (0.00319),0.9741 (0.00113),0.9741 (0.00112),0.9751 (0.00106),0.9732 (0.00181),0.9482 (0.00226)
tRatio0.5_WDDRate0,0.9943 (0.00170),0.9943 (0.00169),0.9951 (0.00130),0.9935 (0.00216),0.9886 (0.00339),0.9778 (0.00130),0.9779 (0.00128),0.9799 (0.00173),0.9759 (0.00251),0.9557 (0.00258),0.9761 (0.00080),0.9761 (0.00079),0.9767 (0.00111),0.9756 (0.00144),0.9522 (0.00159)
tRatio0.5_WDDRate1,0.9813 (0.00306),0.9814 (0.00304),0.9840 (0.00275),0.9788 (0.00382),0.9627 (0.00612),0.9725 (0.00260),0.9727 (0.00257),0.9773 (0.00246),0.9681 (0.00340),0.9451 (0.00519),0.9715 (0.00304),0.9716 (0.00302),0.9737 (0.00275),0.9695 (0.00359),0.9431 (0.00608)
